Station Name,MesoWest Station ID,RAWS_ID
BARNABY,BBEC1,CBAR
JAPATUL FIRE STATION,JFSC1,CJAP
MT. LAGUNA,MLGC1,CLAG
TEMESCAL (LPF),TCLC1,CTE2
CASITAS,CSVC1,CCS2
MILLER RANCH,MLXC1,CMLL
WILEY RIDGE,WLYC1,CWIL
CALFIRE PORTABLE 14,TR110,
MOFD PORTABLE,XOSC1,
DEMOCRAT,DEMC1,CDMC
ARROYO SECO,ASRC1,CARR
HARMON,HRMC1,CHRM
VNC PORTABLE 1,TT578,
LAUFMAN,LAFC1,CLAU
OAK OPENING,OORC1,COKO
OAK KNOLL,OKNC1,COAK
KNF95 PORTABLE,TR189,
UHL,UHLC1,CUHL
ARB2 PORTABLE,TS387,
MDF07 PORTABLE,TT340,
SHF06 PORTABLE,TR169,
ROSE VALLEY,ROVC1,CROS
CALFIRE PORTABLE 31,TT308,
CALFIRE PORTABLE 17,TT467,
CALFIRE PORTABLE 24,TR099,
SNF01 PORTABLE,TS748,
PNF22 PORTABLE,TR168,
BDF03 PORTABLE,TS648,
GOOSE VALLEY,GOSC1,CGOO
PINE HILLS,PIHC1,CPHI
ALPINE,ANEC1,CALP
MOUNT ELIZABETH,MOUC1,CELI
PINEHURST,PHRC1,CPIH
DESCANSO,DENC1,CDES
CAMERON FIRE STATION,CMNC1,CCAM
MIRAMAR EAST,MSXC1,CMIS
PNF23 PORTABLE,TR179,
ROCK CREEK,RCEC1,CROC
NURSERY (SAN CLEMENTE IS),SIZC1,
SAN MIGUEL,MIGC1,CSMI
SNF02 PORTABLE,TR161,
SOMES BAR,SMBC1,CSOM
BLACK DIAMOND,PIBC1,CBKD
SLATE CREEK,TTEC1,CSLC
ENF02 PORTABLE,TS445,
CARMAN SADDLE,QCSC1,CCMA
SHIP MTN,SHXC1,CSHI
CARB EBAM QD1,TT623,
SADDLEBACK,SLEC1,CSDD
CALERO,CXOC1,CCLR
SRF54 PORTABLE,TT622,
LNF07 PORTABLE,TS877,
WHITAKER PEAK,WTPC1,CWPK
GRASS MOUNTAIN,GMTC1,CGRS
CARB EBAM QD2,TT624,
SEEDORCHARD,FSHC1,
LNF04 PORTABLE,TR147,
VANDENBERG PORTABLE,TT414,
BANNER ROAD,ESPC1,CBNR
UNDERWOOD,UDWC1,CUND
SMOKE USFS R5-49,TT205,
FENCE MEADOW,FNWC1,CFEN
FIGUEROA,FGMC1,CFIG
LADDER BUTTE,LDRC1,CLDR
HIGH SIERRA,HSQC1,CHIG
BRUSH MOUNTAIN,BHTC1,CBMT
SUGARLOAF,HUMC1,CKYB
MDF08 PORTABLE,TT249,
MILL CREEK (ANF),MLCC1,CMIL
PIUTES,PIVC1,CPIU
BDF02 PORTABLE,TR782,
LINCOLN,LICC1,CLIN
TONNER CANYON,TNRC1,CTON
SAC NWR QD,NWQC1,
CATHEYS VALLEY,CVBC1,CCAT
COLD SPRINGS,CSZC1,CCLD
LNP01 PORTABLE,TS798,
CALFIRE PORTABLE 22,TR107,
EAGLE PEAK,EPKC1,CEAG
JUANITA LAKE,JTAC1,CJUA
SIMS,SMSC1,CSIM
PINYON,PYNC1,CPNY
LPF02 PORTABLE,TR153,
METCALF GAP,MCFC1,CMET
NOVATO FIRE - ROBINHOOD,NVHC1,CNVF
SAN MARCOS PASS,MPWC1,CSMP
PINECREST 2,PNWC1,CPNC
SRF51 PORTABLE,TS846,
MDF09 PORTABLE,TT446,
JOHNSONDALE,JSNC1,CJOH
SFMU PORTABLE,TT100,
HAYFORK,HYFC1,CHAY
SHF02 PORTABLE,TS624,
GREEN SPRING,GNSC1,CGSP
STF03 PORTABLE,POJC1,
LNF05 PORTABLE,TR148,
MODOC NWR,MOWC1,CMOD
BDF04 PORTABLE,TT698,
CALFIRE PORTABLE 43,TR419,
BLACKROCK,BKRC1,CBRK
READER RANCH,RRRC1,CRDR
BACKBONE,BABC1,CBAC
CDD PORTABLE,TT355,
MALIBU CANYON,MBCC1,CMCN
PNF21 PORTABLE,TR170,
SAN LUIS PORTABLE,TS623,
ARB3 PORTABLE,TS388,
CAYIA_PORT_2,TR278,
TNF02 PORTABLE,TS052,
YOLLA BOLLA,YOBC1,CYOL
MANZANITA LAKE,VIOC1,CMAN
WHITTIER HILLS,WTHC1,CWHH
HART FLAT,HFLC1,CHTF
LNF09 PORTABLE,POBC1,
MNF03 PORTABLE (DONATION),TS378,
COTTAGE,STUC1,CSTS
SRFD PORTABLE,TT735,
TNF04 PORTABLE,TT691,
LNF00 PORTABLE,TR461,
MDF10 PORTABLE,TT445,
PNF13 PORTABLE,TR999,
CLEAR CREEK,CEKC1,CCLE
KNF92 PORTABLE,TR139,
SQF03 PORTABLE,TT662,
CND BLM PORTABLE,TS762,
VALYERMO,VLYC1,CVAY
GREEN MOUNTAIN,CCRO3,
BLACKS MOUNTAIN,BKOC1,CBLM
MT. SHASTA,MSAC1,CMS2
ANF04 PORTABLE,TS346,
TNF 03 PORTABLE,TT142,
SRF53 PORTABLE,LYEC1,
SRF50 PORTABLE,TT641,
ENF05 PORTABLE,TS045,
BEN BOLT,BENC1,CBLT
LPF03 PORTABLE,TR154,
MNF04 PORTABLE,TS379,
PORTER RANCH,PHCC1,CPRT
ANF05 PORTABLE,TS347,
LITTLE TUJUNGA,LTJC1,CLTU
REFUGIO,RHWC1,CRFU
FRIEND MTN.,FMOC1,
LPF04 PORTABLE ,,
BIG BAR,BGBC1,CBBR
STF01 PORTABLE,TS026,
LPF01 PORTABLE,TR152,
FIVE CENT,WEFC1,CFVC
GRAPEVINE PEAK,GVPC1,CGRP
LPF05 PORTABLE (FRAZIER),TT321,
TNF01 PORTABLE,TR197,
NORTH FORK,NFRC1,CNFK
ALDER SPRINGS,ECKC1,CALD
CUYAMA VALLEY,CUVC1,CCUY
SCHOOLHOUSE,SHUC1,
SQF02 PORTABLE,TT663,
LYNCH CANYON,LYQC1,CLYC
SMITH PEAK (STF),SEWC1,
GORDON,GORC1,CGOR
LNF08 PORTABLE,TS924,
OVD QD #1,OVDC1,
BIG SUR,PPSC1,CBSR
SAN LUIS NWR,SLWC1,CSNL
SAN CLEMENTE NRO,INRC1,CSCE
REDDING,RRAC1,CREA
TMU01 PORTABLE,TS626,
DEXTER,DEXC1,CDEX
PANTHER SPRINGS,PSWC1,CPNT
CHUCHUPATE,CUUC1,CCHU
CNF20 PORTABLE,TR118,
WOODY,WOCC1,CWDY
DUNCAN,DUCC1,CDUN
CAMP SIX,CSXC1,CCSX
ENF03 PORTABLE,TS446,
KNF91 PORTABLE,TR173,
SRF52 PORTABLE,TS777,
BOGARD R.S.,BOGC1,CBOG
AMSET PORTABLE,TS678,
LNF01 PORTABLE,TR144,
ROSE PEAK,RSPC1,CRSP
STF02 PORTABLE,POUC1,CST2
TANBARK,TANC1,CTAN
CRESTVIEW,CRVC1,CCRE
SAUGUS,SAUC1,CSAU
CHILAO,CHOC1,CCHI
SNF03 PORTABLE,TR162,
LAKE SKINNER,LXSC1,CLSK
LNF03 PORTABLE,TR146,
RATTLESNAKE,MKGC1,CRTL
BIG PINES,BPNC1,CBIP
SODA CREEK,SOAC1,CSDC
SHF01 PORTABLE,TS583,
ENF01 PORTABLE,TS469,
STEELY FORK,GZFC1,CSTF
BRIONES,PLEC1,CBRI
CFA RAWS,CFAC1,CCFA
STF04 PORTABLE,TT209,
CHESTER,CESC1,CCHS
CALFIRE PORTABLE 55,TT470,
BEAR FLAT,FLAC1,CBRF
MONTECITO #2,MOIC1,CMN2
MOUNT ZION,MTZC1,CMTZ
REGION 5 CLASS III,TT366,
PALOMAR,PAMC1,CPAL
MT. WASHINGTON,DGRC1,CMTW
SHADEQUARTER,SHQC1,CSHQ
PNF33 PORTABLE,TT627,
SRF52ALPHA-PORTABLE,TT690,
LAS TRAMPAS,LTRC1,CTRA
BIG BEAR,TT466,
MINARETS,MTTC1,CMNR
SQF01 PORTABLE,TR165,
COLUMBIA COLLEGE,TT706,
DINKEY,DKYC1,CDNK
BLUE MOUNTAIN,BMUC1,CBML
GASQUET 2,GQEC1,CGA2
WHITE CLOUD,CISC1,CWHC
PILOT HILL,PLTC1,CPIL
INF04 PORTABLE,TS042,
SB BOTANIC GARDEN,SBVC1,
VAN BREMMER,VABC1,CVAN
OZENA,OZNC1,COZE
MOUNT TOM,MMTC1,CTOM
SMOKE USFS R5-39,TT203,
SNF04 PORTABLE,TR172,
STAMPEDE,SMDC1,CSTA
COLBY MOUNTAIN,CBXC1,CCMT
PEPPERMINT,PEPC1,CPEP
SECRET TOWN,SETC1,CSEC
GRANITE SPRINGS,GXSC1,CGRG
HORNBROOK,HNBC1,CHNB
IDES COVE,IDEC1,CIDE
PEPPERDINE RAWS,PPEC1,CPPR
ROADRUNNER RAWS,RRNC1,
PNF23 PORTABLE,TR181,
TMU PORTABLE 02,TT336,
LPF06 PORTABLE,TT642,
SJSU FTS PORTABLE #1,TT773,
ELK MOUNTAIN,HOMC1,CEMT
CALFIRE  PORTABLE 511,TT309,
