"APPLICATION_NUMBER","WATER_RIGHT_ID","YEAR","MONTH","AMOUNT","DIVERSION_TYPE","ASSIGNED_PRIORITY_DATE"
"A011846",2838,2021,1,0,"DIRECT","19470428"
"A011846",2838,2021,1,0,"STORAGE","19470428"
"A011846",2838,2021,2,0,"STORAGE","19470428"
"A011846",2838,2021,2,0,"DIRECT","19470428"
"A011846",2838,2021,3,0,"DIRECT","19470428"
"A011846",2838,2021,3,0,"STORAGE","19470428"
"A011846",2838,2021,4,0,"STORAGE","19470428"
"A011846",2838,2021,4,0,"DIRECT","19470428"
"A011846",2838,2021,5,0,"DIRECT","19470428"
"A011846",2838,2021,5,0,"STORAGE","19470428"
"A011846",2838,2021,6,0,"DIRECT","19470428"
"A011846",2838,2021,6,0,"STORAGE","19470428"
"A011846",2838,2021,7,0,"DIRECT","19470428"
"A011846",2838,2021,7,0,"STORAGE","19470428"
"A011846",2838,2021,8,0,"STORAGE","19470428"
"A011846",2838,2021,8,0,"DIRECT","19470428"
"A011846",2838,2021,9,0,"STORAGE","19470428"
"A011846",2838,2021,9,0,"DIRECT","19470428"
"A011846",2838,2021,10,0,"DIRECT","19470428"
"A011846",2838,2021,10,0,"STORAGE","19470428"
"A011846",2838,2021,11,0,"STORAGE","19470428"
"A011846",2838,2021,11,0,"DIRECT","19470428"
"A011846",2838,2021,12,0,"DIRECT","19470428"
"A011846",2838,2021,12,0,"STORAGE","19470428"
"A011846",2838,2022,1,0,"DIRECT","19470428"
"A011846",2838,2022,1,0,"STORAGE","19470428"
"A011846",2838,2022,2,0,"STORAGE","19470428"
"A011846",2838,2022,2,0,"DIRECT","19470428"
"A011846",2838,2022,3,0,"DIRECT","19470428"
"A011846",2838,2022,3,0,"STORAGE","19470428"
"A011846",2838,2022,4,0,"STORAGE","19470428"
"A011846",2838,2022,4,0,"DIRECT","19470428"
"A011846",2838,2022,5,0,"DIRECT","19470428"
"A011846",2838,2022,5,0,"STORAGE","19470428"
"A011846",2838,2022,6,0,"DIRECT","19470428"
"A011846",2838,2022,6,0,"STORAGE","19470428"
"A011846",2838,2022,7,0,"DIRECT","19470428"
"A011846",2838,2022,7,0,"STORAGE","19470428"
"A011846",2838,2022,8,0,"STORAGE","19470428"
"A011846",2838,2022,8,0,"DIRECT","19470428"
"A011846",2838,2022,9,0,"STORAGE","19470428"
"A011846",2838,2022,9,0,"DIRECT","19470428"
"A011846",2838,2022,10,0,"DIRECT","19470428"
"A011846",2838,2022,10,0,"STORAGE","19470428"
"A011846",2838,2022,11,0,"STORAGE","19470428"
"A011846",2838,2022,11,0,"DIRECT","19470428"
"A011846",2838,2022,12,0,"DIRECT","19470428"
"A011846",2838,2022,12,0,"STORAGE","19470428"
"A012510",3126,2017,1,0,"DIRECT","19480514"
"A012510",3126,2017,1,0,"STORAGE","19480514"
"A012510",3126,2017,2,0,"STORAGE","19480514"
"A012510",3126,2017,2,0,"DIRECT","19480514"
"A012510",3126,2017,3,0,"STORAGE","19480514"
"A012510",3126,2017,3,0,"DIRECT","19480514"
"A012510",3126,2017,4,0,"STORAGE","19480514"
"A012510",3126,2017,4,0,"DIRECT","19480514"
"A012510",3126,2017,5,0,"DIRECT","19480514"
"A012510",3126,2017,5,0,"STORAGE","19480514"
"A012510",3126,2017,6,0,"DIRECT","19480514"
"A012510",3126,2017,6,0,"STORAGE","19480514"
"A012510",3126,2017,7,0,"STORAGE","19480514"
"A012510",3126,2017,7,0,"DIRECT","19480514"
"A012510",3126,2017,8,0,"STORAGE","19480514"
"A012510",3126,2017,8,0,"DIRECT","19480514"
"A012510",3126,2017,9,0,"DIRECT","19480514"
"A012510",3126,2017,9,0,"STORAGE","19480514"
"A012510",3126,2017,10,0,"STORAGE","19480514"
"A012510",3126,2017,10,0,"DIRECT","19480514"
"A012510",3126,2017,11,0,"STORAGE","19480514"
"A012510",3126,2017,11,0,"DIRECT","19480514"
"A012510",3126,2017,12,0,"DIRECT","19480514"
"A012510",3126,2017,12,0,"STORAGE","19480514"
"A012510",3126,2018,1,0,"STORAGE","19480514"
"A012510",3126,2018,1,0,"DIRECT","19480514"
"A012510",3126,2018,2,0,"DIRECT","19480514"
"A012510",3126,2018,2,0,"STORAGE","19480514"
"A012510",3126,2018,3,0,"DIRECT","19480514"
"A012510",3126,2018,3,0,"STORAGE","19480514"
"A012510",3126,2018,4,0,"DIRECT","19480514"
"A012510",3126,2018,4,0,"STORAGE","19480514"
"A012510",3126,2018,5,0,"DIRECT","19480514"
"A012510",3126,2018,5,0,"STORAGE","19480514"
"A012510",3126,2018,6,0,"DIRECT","19480514"
"A012510",3126,2018,6,0,"STORAGE","19480514"
"A012510",3126,2018,7,0,"DIRECT","19480514"
"A012510",3126,2018,7,0,"STORAGE","19480514"
"A012510",3126,2018,8,0,"DIRECT","19480514"
"A012510",3126,2018,8,0,"STORAGE","19480514"
"A012510",3126,2018,9,0,"STORAGE","19480514"
"A012510",3126,2018,9,0,"DIRECT","19480514"
"A012510",3126,2018,10,0,"DIRECT","19480514"
"A012510",3126,2018,10,0,"STORAGE","19480514"
"A012510",3126,2018,11,0,"DIRECT","19480514"
"A012510",3126,2018,11,0,"STORAGE","19480514"
"A012510",3126,2018,12,0,"STORAGE","19480514"
"A012510",3126,2018,12,0,"DIRECT","19480514"
"A012510",3126,2019,1,0,"DIRECT","19480514"
"A012510",3126,2019,1,0,"STORAGE","19480514"
"A012510",3126,2019,2,0,"DIRECT","19480514"
"A012510",3126,2019,2,0,"STORAGE","19480514"
"A012510",3126,2019,3,0,"STORAGE","19480514"
"A012510",3126,2019,3,0,"DIRECT","19480514"
"A012510",3126,2019,4,0,"STORAGE","19480514"
"A012510",3126,2019,4,0,"DIRECT","19480514"
"A012510",3126,2019,5,0,"STORAGE","19480514"
"A012510",3126,2019,5,0,"DIRECT","19480514"
"A012510",3126,2019,6,0,"STORAGE","19480514"
"A012510",3126,2019,6,0,"DIRECT","19480514"
"A012510",3126,2019,7,0,"STORAGE","19480514"
"A012510",3126,2019,7,0,"DIRECT","19480514"
"A012510",3126,2019,8,0,"DIRECT","19480514"
"A012510",3126,2019,8,0,"STORAGE","19480514"
"A012510",3126,2019,9,0,"STORAGE","19480514"
"A012510",3126,2019,9,0,"DIRECT","19480514"
"A012510",3126,2019,10,0,"STORAGE","19480514"
"A012510",3126,2019,10,0,"DIRECT","19480514"
"A012510",3126,2019,11,0,"STORAGE","19480514"
"A012510",3126,2019,11,0,"DIRECT","19480514"
"A012510",3126,2019,12,0,"STORAGE","19480514"
"A012510",3126,2019,12,0,"DIRECT","19480514"
"A012510",3126,2020,1,0,"STORAGE","19480514"
"A012510",3126,2020,1,0,"DIRECT","19480514"
"A012510",3126,2020,2,0,"STORAGE","19480514"
"A012510",3126,2020,2,0,"DIRECT","19480514"
"A012510",3126,2020,3,0,"DIRECT","19480514"
"A012510",3126,2020,3,0,"STORAGE","19480514"
