APPLICATION_NUMBER,WATER_RIGHT_TYPE
H032565,Registration Irrigation
H032565,Registration Irrigation
H032565,Registration Irrigation
H033104,Registration Irrigation
H033104,Registration Irrigation
H033269,Registration Irrigation
H033269,Registration Irrigation
H500623,Registration Cannabis
H500623,Registration Cannabis
H500746,Registration Cannabis
H500746,Registration Cannabis
H500865,Registration Cannabis
H500865,Registration Cannabis
H501598,Registration Cannabis
H501598,Registration Cannabis
H501829,Registration Cannabis
H501829,Registration Cannabis
H504776,Registration Cannabis
H504776,Registration Cannabis
H504776,Registration Cannabis
H504776,Registration Cannabis
H505075,Registration Cannabis
H505075,Registration Cannabis
H505624,Registration Cannabis
H505624,Registration Cannabis
H506046,Registration Cannabis
H506046,Registration Cannabis
H508992,Registration Cannabis
H509163,Registration Cannabis
L031663,Registration Livestock
L031663,Registration Livestock
L031885,Registration Livestock
L031885,Registration Livestock
L031916,Registration Livestock
S003085,Statement of Div and Use
S003085,Statement of Div and Use
S003534,Statement of Div and Use
S005173,Statement of Div and Use
S005174,Statement of Div and Use
S005201,Statement of Div and Use
S005202,Statement of Div and Use
S005447,Statement of Div and Use
S008637,Statement of Div and Use
S008637,Statement of Div and Use
S008688,Statement of Div and Use
S008688,Statement of Div and Use
S008688,Statement of Div and Use
S008688,Statement of Div and Use
S009091,Statement of Div and Use
S009642,Statement of Div and Use
S009642,Statement of Div and Use
S010247,Statement of Div and Use
S010254,Statement of Div and Use
S010569,Statement of Div and Use
S013216,Statement of Div and Use
S013216,Statement of Div and Use
S013747,Statement of Div and Use
S013747,Statement of Div and Use
S013771,Statement of Div and Use
S013771,Statement of Div and Use
S013939,Statement of Div and Use
S013939,Statement of Div and Use
S013940,Statement of Div and Use
S013940,Statement of Div and Use
S014234,Statement of Div and Use
S014234,Statement of Div and Use
S014395,Statement of Div and Use
S014395,Statement of Div and Use
S014949,Statement of Div and Use
S014949,Statement of Div and Use
S014958,Statement of Div and Use
S014958,Statement of Div and Use
S014959,Statement of Div and Use
S014959,Statement of Div and Use
S015014,Statement of Div and Use
S015014,Statement of Div and Use
S015096,Statement of Div and Use
S015096,Statement of Div and Use
S015098,Statement of Div and Use
S015098,Statement of Div and Use
S015102,Statement of Div and Use
S015102,Statement of Div and Use
S015103,Statement of Div and Use
S015103,Statement of Div and Use
S015116,Statement of Div and Use
S015116,Statement of Div and Use
S015132,Statement of Div and Use
S015132,Statement of Div and Use
S015183,Statement of Div and Use
S015183,Statement of Div and Use
