APPLICATION_NUMBER,WATER_RIGHT_TYPE
S014297,Statement of Div and Use
A029433,Appropriative
S020686,Statement of Div and Use
A030125,Appropriative
S023746,Statement of Div and Use
A021540,Appropriative
A029767,Appropriative
C000107,Stockpond
A030515,Appropriative
A030516,Appropriative
S002062,Statement of Div and Use
S013996,Statement of Div and Use
S015618,Statement of Div and Use
A026179,Appropriative
S015387,Statement of Div and Use
A013943,Appropriative
S015232,Statement of Div and Use
S002385,Statement of Div and Use
S015388,Statement of Div and Use
S013995,Statement of Div and Use
S001108,Statement of Div and Use
A029767,Appropriative
A030630,Appropriative
A027676,Appropriative
S014243,Statement of Div and Use
A021119,Appropriative
A027706,Appropriative
S000064,Statement of Div and Use
S013994,Statement of Div and Use
A030630,Appropriative
S013993,Statement of Div and Use
A026276,Appropriative
A025813,Appropriative
A025813,Appropriative
A022711,Appropriative
A030630,Appropriative
A019961,Appropriative
S008857,Statement of Div and Use
A020919,Appropriative
S015231,Statement of Div and Use
C003997,Stockpond
L032121,Registration Livestock
A011638,Appropriative
A025813,Appropriative
A023866,Appropriative
D032509,Registration Domestic
L032510,Registration Livestock
C001086,Stockpond
S022352,Statement of Div and Use
S020694,Statement of Div and Use
L031928,Registration Livestock
A009496,Appropriative
A029352,Appropriative
A026165,Appropriative
A027128,Appropriative
H033165,Registration Irrigation
C004045,Stockpond
A022949,Appropriative
S008856,Statement of Div and Use
A024591A,Appropriative
A024591B,Appropriative
A028791,Appropriative
A024467,Appropriative
A024467,Appropriative
S022283,Statement of Div and Use
A030245,Appropriative
A025205,Appropriative
A024467,Appropriative
A024467,Appropriative
C001126,Stockpond
A025867,Appropriative
A018843,Appropriative
A022370,Appropriative
S009619,Statement of Div and Use
A024467,Appropriative
A025867,Appropriative
A025867,Appropriative
D032303,Registration Domestic
A025205,Appropriative
A025205,Appropriative
A024292A,Appropriative
A027707,Appropriative
A029048,Appropriative
A029553,Appropriative
A029553,Appropriative
D032033,Registration Domestic
S016177,Statement of Div and Use
S016176,Statement of Div and Use
A014204,Appropriative
A029553,Appropriative
S014151,Statement of Div and Use
A029048,Appropriative
A029048,Appropriative
A027962,Appropriative
A017290,Appropriative
S008858,Statement of Div and Use
A030627,Appropriative
D030307R,Registration Domestic
S008740,Statement of Div and Use
S022931,Statement of Div and Use
A029165,Appropriative
A030627,Appropriative
A023857,Appropriative
S000040,Statement of Div and Use
S015150,Statement of Div and Use
A024129,Appropriative
A030627,Appropriative
S006317,Statement of Div and Use
S022061,Statement of Div and Use
D030628R,Registration Domestic
A027545,Appropriative
S000293,Statement of Div and Use
S002074,Statement of Div and Use
S011329,Statement of Div and Use
A026302,Appropriative
S014740,Statement of Div and Use
S014741,Statement of Div and Use
D032266,Registration Domestic
A022785,Appropriative
S015053,Statement of Div and Use
A024866A,Appropriative
A021233,Appropriative
A011816,Appropriative
A017607,Appropriative
A017733,Appropriative
A020625,Appropriative
A027545,Appropriative
A025996,Appropriative
A016548,Appropriative
A024784,Appropriative
D032026,Registration Domestic
A024772A,Appropriative
A027032,Appropriative
A015222,Appropriative
A017924,Appropriative
D031975,Registration Domestic
A015222,Appropriative
A017924,Appropriative
A027032,Appropriative
S014836,Statement of Div and Use
A023660,Appropriative
A023660,Appropriative
A029204,Appropriative
A022785,Appropriative
A015222,Appropriative
A017924,Appropriative
A029204,Appropriative
A024874,Appropriative
A029204,Appropriative
