"APPLICATION_NUMBER","INI_REPORTED_DIV_AMOUNT","INI_REPORTED_DIV_UNIT","FACE_VALUE_AMOUNT","FACE_VALUE_UNITS"
"A014872",NA,"",6,"Acre-feet per Year"
"A014875",NA,"",294,"Acre-feet per Year"
"A014880",NA,"",1448,"Acre-feet per Year"
"A014904",NA,"",72.2,"Acre-feet per Year"
"A014916A",NA,"",69.7,"Acre-feet per Year"
"A014916B",NA,"",113.8,"Acre-feet per Year"
"A014925",NA,"",93,"Acre-feet per Year"
"A014942",NA,"",64,"Acre-feet per Year"
"A014966",NA,"",433,"Acre-feet per Year"
"A014997A",NA,"",70,"Acre-feet per Year"
"A014997B",NA,"",57,"Acre-feet per Year"
"A015075",NA,"",4,"Acre-feet per Year"
"A015120",NA,"",14.5,"Acre-feet per Year"
"A015157",NA,"",336,"Acre-feet per Year"
"A015158A",NA,"",19,"Acre-feet per Year"
"A015158B",NA,"",34,"Acre-feet per Year"
"A015168",NA,"",88,"Acre-feet per Year"
"A015187",NA,"",0.5,"Acre-feet per Year"
"A015194",NA,"",65,"Acre-feet per Year"
"A015233",NA,"",228.4,"Acre-feet per Year"
"A015237",NA,"",30,"Acre-feet per Year"
"A015277",NA,"",64,"Acre-feet per Year"
"A015299",NA,"",3.2,"Acre-feet per Year"
"A015314",NA,"",36,"Acre-feet per Year"
"A015329A",NA,"",32.2,"Acre-feet per Year"
"A015329B",NA,"",22.4,"Acre-feet per Year"
"A015348",NA,"",72.5,"Acre-feet per Year"
"A015370",NA,"",252.7,"Acre-feet per Year"
"A015397",NA,"",24.4,"Acre-feet per Year"
"A015399",NA,"",36.7,"Acre-feet per Year"
"A015515",NA,"",20,"Acre-feet per Year"
"A015521",NA,"",97,"Acre-feet per Year"
"A015603",NA,"",133,"Acre-feet per Year"
"A015610",NA,"",16.7,"Acre-feet per Year"
"A015624",NA,"",30,"Acre-feet per Year"
"A015663",NA,"",159.3,"Acre-feet per Year"
"A015664A",NA,"",19.5,"Acre-feet per Year"
"A015664B",NA,"",15.2,"Acre-feet per Year"
"A015664C",NA,"",11.3,"Acre-feet per Year"
"A015677",NA,"",78.1,"Acre-feet per Year"
"A015678",NA,"",61,"Acre-feet per Year"
"A015685",NA,"",0.2,"Acre-feet per Year"
"A015704",NA,"",14479.6,"Acre-feet per Year"
"A015720",NA,"",24.5,"Acre-feet per Year"
"A015721",NA,"",724,"Acre-feet per Year"
"A015724",NA,"",136.6,"Acre-feet per Year"
"A015726",NA,"",154.1,"Acre-feet per Year"
"A015727",NA,"",144.8,"Acre-feet per Year"
"A015728A",NA,"",53.5,"Acre-feet per Year"
"A015728B",NA,"",19.4,"Acre-feet per Year"
"A015729",NA,"",86.8,"Acre-feet per Year"
"A015736",NA,"",14479.6,"Acre-feet per Year"
"A015737",NA,"",21778.8,"Acre-feet per Year"
"A015743",NA,"",47.7,"Acre-feet per Year"
"A015759",NA,"",121.5,"Acre-feet per Year"
"A015760",NA,"",68.2,"Acre-feet per Year"
"A015779",NA,"",75,"Acre-feet per Year"
"A015780",NA,"",300.9,"Acre-feet per Year"
"A015781",NA,"",56,"Acre-feet per Year"
"A015782",NA,"",322.9,"Acre-feet per Year"
"A015796",NA,"",68.2,"Acre-feet per Year"
"A015854",NA,"",101,"Acre-feet per Year"
"A015894",NA,"",82,"Acre-feet per Year"
"A015947",NA,"",40,"Acre-feet per Year"
"A015983",NA,"",73.4,"Acre-feet per Year"
"A015984",NA,"",8.9,"Acre-feet per Year"
"A016077",NA,"",20,"Acre-feet per Year"
"A016086",NA,"",89.6,"Acre-feet per Year"
"A016106",NA,"",23,"Acre-feet per Year"
"A016141",NA,"",43.4,"Acre-feet per Year"
"A016155",NA,"",101.8,"Acre-feet per Year"
"A016190",NA,"",15,"Acre-feet per Year"
"A016218",NA,"",15,"Acre-feet per Year"
