APPLICATION_NUMBER,WATER_RIGHT_TYPE
A015736,Appropriative
A015736,Appropriative
A015736,Appropriative
A015737,Appropriative
A015737,Appropriative
A015737,Appropriative
A015737,Appropriative
A015737,Appropriative
A015737,Appropriative
A015737,Appropriative
A015737,Appropriative
A015737,Appropriative
A015737,Appropriative
A015737,Appropriative
A015737,Appropriative
A015737,Appropriative
A015737,Appropriative
A015737,Appropriative
A015737,Appropriative
A015737,Appropriative
A015737,Appropriative
A015737,Appropriative
A015737,Appropriative
A015737,Appropriative
A015737,Appropriative
A015737,Appropriative
A015737,Appropriative
A015737,Appropriative
A015737,Appropriative
A015743,Appropriative
A015759,Appropriative
A015760,Appropriative
A015779,Appropriative
A015779,Appropriative
A015779,Appropriative
A015780,Appropriative
A015781,Appropriative
A015782,Appropriative
A015796,Appropriative
A015854,Appropriative
A015874,Appropriative
A015894,Appropriative
A015947,Appropriative
A015983,Appropriative
A015984,Appropriative
A016077,Appropriative
A016086,Appropriative
A016106,Appropriative
A016141,Appropriative
A016155,Appropriative
A016155,Appropriative
A016190,Appropriative
A016192,Appropriative
A016218,Appropriative
A016249,Appropriative
A016249,Appropriative
A016249,Appropriative
A016308,Appropriative
A016319,Appropriative
A016334,Appropriative
A016347,Appropriative
A016357,Appropriative
A016357,Appropriative
A016381,Appropriative
A016398,Appropriative
A016398,Appropriative
A016405,Appropriative
A016416,Appropriative
A016440,Appropriative
A016443,Appropriative
A016443,Appropriative
A016457,Appropriative
A016457,Appropriative
A016467,Appropriative
A016472,Appropriative
A016478,Appropriative
A016478,Appropriative
A016524,Appropriative
A016525,Appropriative
A016527,Appropriative
A016545,Appropriative
A016557,Appropriative
A016561,Appropriative
A016655,Appropriative
A016670,Appropriative
A016671,Appropriative
A016671,Appropriative
A016673,Appropriative
A016673,Appropriative
A016758,Appropriative
A016777,Appropriative
A016821,Appropriative
A016825,Appropriative
A016904,Appropriative
A016904,Appropriative
A016961,Appropriative
A016961,Appropriative
A016963,Appropriative
A016973,Appropriative
A016973,Appropriative
A017056,Appropriative
A017056,Appropriative
A017081,Appropriative
A017091A,Appropriative
A017091B,Appropriative
A017091C,Appropriative
A017098,Appropriative
A017100,Appropriative
A017121,Appropriative
A017121,Appropriative
A017121,Appropriative
A017121,Appropriative
A017145,Appropriative
A017232,Appropriative
A017237,Appropriative
A017240,Appropriative
A017263,Appropriative
A017271,Appropriative
A017366,Appropriative
A017366,Appropriative
A017477,Appropriative
A017479,Appropriative
A017508,Appropriative
A017551,Appropriative
A017587,Appropriative
A017587,Appropriative
A017622,Appropriative
A017624,Appropriative
A017632,Appropriative
A017632,Appropriative
A017632,Appropriative
A017642,Appropriative
A017689,Appropriative
A017717,Appropriative
A017745,Appropriative
A017795,Appropriative
A017833,Appropriative
A017868,Appropriative
A017871,Appropriative
A017881,Appropriative
A017885,Appropriative
A017911A,Appropriative
A017911A,Appropriative
A017911B,Appropriative
A017919,Appropriative
A017933,Appropriative
A017938,Appropriative
A017978,Appropriative
A017978,Appropriative
A017978,Appropriative
A017978,Appropriative
A017998,Appropriative
A017999,Appropriative
A018060,Appropriative
A018093A,Appropriative
A018093B,Appropriative
A018093B,Appropriative
A018127,Appropriative
A018138,Appropriative
A018138,Appropriative
A018192,Appropriative
A018200,Appropriative
A018235,Appropriative
A018241,Appropriative
A018241,Appropriative
A018274A,Appropriative
A018274B,Appropriative
A018277,Appropriative
A018328,Appropriative
A018392,Appropriative
A018392,Appropriative
A018392,Appropriative
A018392,Appropriative
A018522,Appropriative
A018648,Appropriative
A018649,Appropriative
A018736,Appropriative
A018835,Appropriative
A018843,Appropriative
A018849,Appropriative
A018948,Appropriative
A018958,Appropriative
A018963,Appropriative
A019013,Appropriative
A019071,Appropriative
A019089,Appropriative
A019089,Appropriative
A019135,Appropriative
A019140,Appropriative
A019140,Appropriative
A019200,Appropriative
A019241,Appropriative
A019336,Appropriative
A019339,Appropriative
A019339,Appropriative
A019351,Appropriative
A019351,Appropriative
A019351,Appropriative
A019351,Appropriative
A019351,Appropriative
A019351,Appropriative
A019351,Appropriative
A019351,Appropriative
A019351,Appropriative
A019351,Appropriative
A019351,Appropriative
A019351,Appropriative
A019351,Appropriative
A019351,Appropriative
A019351,Appropriative
A019351,Appropriative
A019351,Appropriative
A019351,Appropriative
A019351,Appropriative
A019351,Appropriative
A019351,Appropriative
A019351,Appropriative
A019351,Appropriative
A019422,Appropriative
A019427,Appropriative
A019444,Appropriative
A019470,Appropriative
A019470,Appropriative
A019515,Appropriative
A019554,Appropriative
A019554,Appropriative
A019554,Appropriative
A019554,Appropriative
A019557,Appropriative
A019642,Appropriative
A019649,Appropriative
A019652,Appropriative
A019720,Appropriative
A019722,Appropriative
A019729,Appropriative
A019798,Appropriative
A019806,Appropriative
A019891,Appropriative
A019921,Appropriative
A020005,Appropriative
A020015,Appropriative
A020071,Appropriative
A020078,Appropriative
A020078,Appropriative
A020089,Appropriative
A020100,Appropriative
A020114,Appropriative
A020127,Appropriative
A020129,Appropriative
A020134,Appropriative
A020134,Appropriative
A020134,Appropriative
A020147,Appropriative
A020261,Appropriative
A020264,Appropriative
A020333,Appropriative
A020382,Appropriative
A020382,Appropriative
A020382,Appropriative
A020384,Appropriative
A020401,Appropriative
A020435,Appropriative
A020436,Appropriative
A020491,Appropriative
A020491,Appropriative
A020493,Appropriative
A020509,Appropriative
A020540,Appropriative
A020540,Appropriative
A020540,Appropriative
A020540,Appropriative
A020540,Appropriative
A020557,Appropriative
A020573,Appropriative
A020582,Appropriative
A020583,Appropriative
A020584,Appropriative
A020624,Appropriative
A020634,Appropriative
A020654,Appropriative
A020657,Appropriative
A020662,Appropriative
A020720,Appropriative
A020728,Appropriative
A020729,Appropriative
A020733,Appropriative
A020769,Appropriative
A020788,Appropriative
A020791,Appropriative
A020798,Appropriative
A020813,Appropriative
A020846,Appropriative
A020870,Appropriative
A020872,Appropriative
A020896,Appropriative
A020901,Appropriative
A020907,Appropriative
A020919,Appropriative
A020920,Appropriative
A020951,Appropriative
A020953,Appropriative
A020963,Appropriative
A020979,Appropriative
A021015,Appropriative
A021052,Appropriative
A021076,Appropriative
A021081,Appropriative
A021106,Appropriative
A021121,Appropriative
A021126,Appropriative
A021127,Appropriative
A021148,Appropriative
A021156,Appropriative
A021187,Appropriative
A021191,Appropriative
A021202,Appropriative
A021210,Appropriative
A021233,Appropriative
A021235,Appropriative
A021245,Appropriative
A021271,Appropriative
A021345,Appropriative
A021355,Appropriative
A021360,Appropriative
A021419,Appropriative
A021429A,Appropriative
A021429A,Appropriative
A021429B,Appropriative
A021429B,Appropriative
A021429C,Appropriative
A021466,Appropriative
A021506,Appropriative
A021515,Appropriative
A021516,Appropriative
A021516,Appropriative
A021522,Appropriative
A021540,Appropriative
A021569,Appropriative
A021570,Appropriative
A021596,Appropriative
A021658,Appropriative
A021660,Appropriative
A021666,Appropriative
A021674,Appropriative
A021691,Appropriative
A021705,Appropriative
A021709,Appropriative
A021710,Appropriative
A021711,Appropriative
A021756,Appropriative
A021756,Appropriative
A021783A,Appropriative
A021783B,Appropriative
A021809,Appropriative
A021817,Appropriative
A021838,Appropriative
A021856,Appropriative
A021870,Appropriative
A021886,Appropriative
A021889,Appropriative
A021919,Appropriative
A021925,Appropriative
A021927,Appropriative
A021928,Appropriative
A021929,Appropriative
A021930,Appropriative
A021931,Appropriative
A021932,Appropriative
A021939,Appropriative
A021941,Appropriative
A021942,Appropriative
A021950,Appropriative
A021966,Appropriative
A021977,Appropriative
A022005B,Appropriative
A022038,Appropriative
A022070,Appropriative
A022079,Appropriative
A022090,Appropriative
A022141,Appropriative
A022145,Appropriative
A022151,Appropriative
A022151,Appropriative
A022151,Appropriative
A022151,Appropriative
A022188,Appropriative
A022208,Appropriative
A022237,Appropriative
A022273,Appropriative
A022277,Appropriative
A022306,Appropriative
A022319,Appropriative
A022342,Appropriative
A022348,Appropriative
A022359,Appropriative
A022378,Appropriative
A022426,Appropriative
A022431,Appropriative
A022431,Appropriative
A022431,Appropriative
A022432,Appropriative
A022433,Appropriative
A022445,Appropriative
A022496,Appropriative
A022498,Appropriative
A022523,Appropriative
A022565,Appropriative
A022583,Appropriative
A022608,Appropriative
A022614,Appropriative
A022615,Appropriative
A022623,Appropriative
A022652,Appropriative
A022661,Appropriative
A022667,Appropriative
A022667,Appropriative
A022692,Appropriative
A022692,Appropriative
A022702,Appropriative
A022732,Appropriative
A022745,Appropriative
A022767,Appropriative
A022767,Appropriative
A022802,Appropriative
A022802,Appropriative
A022807,Appropriative
A022815,Appropriative
A022824,Appropriative
A022870,Appropriative
A022881,Appropriative
A022919,Appropriative
A022929,Appropriative
A022962,Appropriative
A022993,Appropriative
A023027,Appropriative
A023035,Appropriative
A023039,Appropriative
A023039,Appropriative
A023040,Appropriative
A023040,Appropriative
A023040,Appropriative
A023058,Appropriative
A023067,Appropriative
A023077,Appropriative
A023077,Appropriative
A023086,Appropriative
A023092,Appropriative
A023094,Appropriative
A023098,Appropriative
A023144,Appropriative
A023163,Appropriative
A023165,Appropriative
A023173,Appropriative
A023212A,Appropriative
A023212B,Appropriative
A023213,Appropriative
A023250,Appropriative
A023255,Appropriative
A023282,Appropriative
A023290,Appropriative
A023297,Appropriative
A023326,Appropriative
A023328,Appropriative
A023337,Appropriative
A023337,Appropriative
A023338,Appropriative
A023339,Appropriative
A023387,Appropriative
A023399,Appropriative
A023408,Appropriative
A023446B,Appropriative
A023451,Appropriative
A023460,Appropriative
A023481,Appropriative
A023481,Appropriative
A023488,Appropriative
A023489,Appropriative
A023534A,Appropriative
A023534B,Appropriative
A023536,Appropriative
A023539,Appropriative
A023540,Appropriative
A023545,Appropriative
A023558,Appropriative
A023562,Appropriative
A023563,Appropriative
A023605,Appropriative
A023615,Appropriative
A023629,Appropriative
