APPLICATION_NUMBER,effective_date,effective_from_date,effective_to_date
S004158,01/01/1966,09/15/1994,NULL
S004163,01/01/1966,09/15/1994,NULL
S004166,01/01/1966,09/15/1994,NULL
S004170,01/01/1966,09/15/1994,NULL
S004184,01/01/1966,09/15/1994,NULL
S004185,01/01/1966,09/15/1994,NULL
S004190,01/01/1966,09/15/1994,NULL
S004193,01/01/1966,09/15/1994,NULL
S004204,01/01/1966,09/15/1994,NULL
S004210,01/01/1966,09/15/1994,NULL
S004213,01/01/1966,09/15/1994,NULL
S004223,03/11/1987,09/15/1994,NULL
S004225,04/24/2007,09/15/1994,04/24/2007
S004259,01/01/1980,03/28/2016,NULL
S004261,01/01/1980,03/28/2016,NULL
S004279,01/01/1980,03/28/2016,NULL
S004288,01/01/1980,03/28/2016,NULL
S004292,01/01/1980,03/28/2016,NULL
S004307,01/01/1980,03/28/2016,NULL
S004349,01/01/1980,09/15/1994,NULL
S004350,01/01/1980,09/15/1994,NULL
S004351,01/01/1980,09/15/1994,NULL
S004366,04/19/2011,09/15/1994,NULL
S004384,07/25/2011,09/15/1994,NULL
S004397,01/01/1969,09/15/1994,NULL
S004424,01/01/1973,09/15/1994,NULL
S004488,01/01/1967,09/15/1994,NULL
S004504,01/01/1967,09/15/1994,NULL
S004611,04/23/2008,09/15/1994,NULL
S004612,01/01/1973,03/16/1999,NULL
S004648,11/29/1968,09/15/1994,NULL
S004650,01/01/1973,09/15/1994,NULL
S004657,01/01/1973,09/15/1994,NULL
S004659,05/13/2008,09/15/1994,NULL
S004680,03/06/2018,09/15/1994,NULL
S004682,01/01/1972,09/15/1994,NULL
S004692,01/01/1972,09/17/2012,NULL
S004700,08/29/2012,09/15/1994,NULL
S004707,01/01/1975,09/15/1994,NULL
S004712,05/30/2006,09/15/1994,NULL
S004721,05/13/2008,12/24/2021,NULL
S004743,01/01/1980,09/15/1994,NULL
S004744,11/20/2017,11/20/2017,NULL
S004745,01/01/1975,09/15/1994,NULL
S004746,01/01/1975,09/15/1994,NULL
S004754,01/01/1980,09/15/1994,NULL
S004764,01/01/1980,12/23/2020,NULL
S004818,01/01/1968,09/15/1994,NULL
S004846,01/01/1968,09/15/1994,NULL
S004874,01/01/1968,09/15/1994,NULL
S004899,01/01/1968,09/15/1994,NULL
S004903,01/01/1968,09/15/1994,NULL
S004913,01/01/1975,09/15/1994,NULL
S004922,12/10/2009,09/15/1994,NULL
S004924,01/01/1975,10/23/2018,NULL
S004940,02/24/1970,02/22/2017,NULL
S004952,01/01/1980,02/22/2017,NULL
S004969,01/01/1969,09/15/1994,NULL
S004986,01/01/1980,01/21/2000,NULL
S005005,01/01/1969,08/18/2006,NULL
S005013,01/01/1969,09/15/1994,NULL
S005014,01/01/1969,09/15/1994,NULL
S005048,01/01/1969,09/15/1994,NULL
S005102,01/01/1969,09/15/1994,NULL
S005116,01/01/1980,09/15/1994,NULL
S005119,01/01/1980,09/15/1994,NULL
S005128,07/30/2007,09/15/1994,07/30/2007
S005164,01/01/1980,09/15/1994,NULL
S005177,01/15/2013,12/22/1995,NULL
S005201,01/01/1980,09/15/1994,NULL
S005203,01/15/2013,12/22/1995,NULL
S005218,03/18/2015,09/15/1994,NULL
S005229,12/14/2009,09/15/1994,NULL
S005232,01/01/1975,03/01/2022,NULL
S005237,03/03/2015,09/15/1994,NULL
S005244,01/01/1980,11/25/2002,NULL
S005287,01/01/1975,10/09/2018,NULL
S005290,01/01/1975,10/09/2018,NULL
S005344,01/01/1980,09/15/1994,NULL
S005397,09/15/1970,09/15/1994,NULL
S005400,01/01/1980,09/15/1994,NULL
S005425,01/01/1980,09/15/1994,NULL
S005447,01/01/1980,09/15/1994,NULL
S005466,06/26/2001,NULL,NULL
S005490,01/01/1980,09/15/1994,NULL
S005662,01/01/1980,09/15/1994,NULL
S005705,01/01/1980,09/15/1994,NULL
S005708,01/01/1980,09/15/1994,NULL
S005723,01/01/1980,09/15/1994,NULL
S005778,01/01/1980,09/15/1994,NULL
S005809,01/01/1980,09/15/1994,NULL
S005811,01/01/1980,09/15/1994,NULL
S005814,01/01/1980,09/15/1994,NULL
S005857,01/01/1980,09/15/1994,NULL
S005890,01/01/1980,09/15/1994,NULL
S005956,01/01/1980,09/15/1994,NULL
S005983,01/01/1980,09/15/1994,NULL
S005987,01/01/1980,09/15/1994,NULL
S005998,01/01/1980,09/15/1994,NULL
S006003,01/01/1980,09/15/1994,NULL
S006004,01/01/1980,09/15/1994,NULL
S006006,01/01/1980,09/15/1994,NULL
S006181,01/01/1980,09/15/1994,NULL
S006206,01/01/1980,09/15/1994,NULL
S006269,01/01/1975,07/07/2016,NULL
S006272,08/23/2011,09/15/1994,NULL
S006286,03/18/2015,09/15/1994,NULL
S006290,12/07/2009,09/15/1994,NULL
S006308,04/20/2011,09/15/1994,NULL
S006354,01/01/1972,09/15/1994,NULL
S006420,01/01/1980,09/15/1994,NULL
S006442,04/16/2013,03/07/2013,NULL
S006446,04/22/2009,NULL,NULL
S006464,12/08/2009,09/15/1994,NULL
S006483,09/03/2014,09/15/1994,NULL
S006484,10/24/2002,NULL,NULL
S006487,02/25/2014,09/15/1994,NULL
S006490,01/01/1976,09/15/1994,NULL
S006492,01/01/1976,03/23/2018,NULL
S006499,07/05/2013,09/15/1994,NULL
S006529,04/22/2009,09/15/1994,NULL
S006536,01/01/1976,09/15/1994,NULL
S006708,04/07/1971,09/15/1994,NULL
S006716,04/07/1971,09/15/1994,NULL
S006729,07/05/2004,NULL,NULL
S006755,01/01/1980,09/15/1994,NULL
S006777,01/01/1980,09/15/1994,NULL
S006939,01/01/1980,09/15/1994,NULL
S006954,01/01/1980,09/15/1994,NULL
S006957,01/01/1980,09/15/1994,NULL
S007165,01/01/1980,09/15/1994,NULL
S007376,12/16/2009,05/30/2001,NULL
S007377,01/01/1976,01/21/2000,NULL
S007390,01/01/1974,01/18/2018,NULL
S007634,01/01/1980,09/15/1994,NULL
S007653,01/01/1976,05/15/1987,NULL
S007658,01/01/1976,08/18/2005,NULL
S007670,01/01/1976,08/18/2005,NULL
S007673,01/01/1976,08/18/2005,NULL
S007753,01/01/1974,09/15/1994,NULL
S007756,01/01/1974,09/15/1994,NULL
S007760,01/01/1974,09/15/1994,NULL
S007772,01/01/1974,09/15/1994,NULL
S007781,06/28/2005,09/15/1994,NULL
S007861,01/01/1976,03/24/2021,NULL
S007866,04/22/2009,09/15/1994,NULL
S007901,03/13/2014,09/15/1994,NULL
S007909,01/01/1980,09/15/1994,NULL
S007937,01/01/1980,09/15/1994,NULL
S007940,11/14/2013,09/15/1994,NULL
S007941,01/01/1975,09/05/2019,NULL
S007946,01/01/1975,07/03/2000,NULL
S007969,04/09/2002,NULL,NULL
S007975,01/01/1980,09/15/1994,NULL
S007985,08/02/2013,09/15/1994,NULL
S008016,01/01/1975,09/15/1994,NULL
S008059,01/01/1973,07/02/2021,NULL
S008067,03/18/2014,09/15/1994,NULL
S008070,03/06/1973,12/19/1995,NULL
S008082,01/01/1973,02/28/1996,NULL
S008090,05/02/1973,02/22/2017,NULL
S008097,05/02/1973,02/22/2017,NULL
S008108,02/04/2014,02/13/2012,NULL
S008111,01/01/1973,09/15/1994,NULL
S008127,06/11/2008,09/15/1994,NULL
S008128,05/30/1973,04/05/2013,NULL
S008136,01/01/1973,09/15/1994,NULL
S008142,06/12/2014,09/15/1994,NULL
S008144,04/29/2009,12/06/1994,NULL
S008155,06/05/2008,09/15/1994,NULL
S008194,01/01/1973,09/15/1994,NULL
S008205,04/22/2009,09/15/1994,NULL
S008206,04/22/2009,09/15/1994,NULL
S008232,01/01/1980,09/15/1994,NULL
S008234,01/01/1980,09/15/1994,NULL
S008237,01/01/1980,09/15/1994,NULL
S008241,01/01/1973,11/08/2021,NULL
S008244,01/01/1973,07/27/2023,NULL
S008263,02/22/2016,07/24/2003,NULL
S008268,03/06/2012,09/15/1994,NULL
S008269,01/01/1974,05/25/2012,NULL
S008271,01/01/1973,09/11/2013,NULL
S008273,01/01/1980,08/09/2011,NULL
S008290,01/01/1980,09/15/1994,NULL
S008297,01/01/1974,02/24/2014,NULL
S008299,04/18/2005,09/15/1994,NULL
S008306,01/01/1973,09/15/1994,NULL
S008309,01/01/1980,01/22/1999,NULL
S008314,07/26/2011,09/15/1994,NULL
S008315,02/26/2014,09/15/1994,NULL
S008322,01/01/1980,07/19/2007,NULL
S008337,07/26/2011,09/15/1994,NULL
S008350,06/10/2010,05/03/2012,NULL
S008369,02/13/1998,09/15/1994,NULL
S008391,01/01/1974,03/21/2007,NULL
S008402,01/01/1980,08/18/2005,NULL
S008410,01/01/1980,10/09/2018,NULL
S008417,04/29/2009,09/15/1994,NULL
S008442,12/09/1974,09/15/1994,NULL
S008457,01/01/1975,09/21/1993,NULL
S008500,04/29/2009,09/15/1994,NULL
S008502,01/01/1975,07/01/2011,NULL
S008525,04/22/2009,09/15/1994,NULL
S008541,05/16/2008,12/20/1995,NULL
S008561,04/22/2009,09/15/1994,NULL
S008571,01/01/1980,09/15/1994,NULL
S008573,06/28/2012,09/15/1994,NULL
S008574,06/28/2012,09/15/1994,NULL
S008586,01/01/1975,09/15/1994,NULL
S008597,01/01/1980,06/23/2006,NULL
S008605,07/25/2011,09/15/1994,NULL
S008610,09/22/1975,09/15/1994,NULL
S008616,04/18/2007,09/15/1994,05/31/2007
S008626,08/01/2008,09/15/1994,NULL
S008633,01/01/1980,09/15/1994,NULL
S008642,01/01/1973,09/15/1994,NULL
S008644,01/01/1973,09/15/1994,NULL
S008647,06/07/2005,12/20/1995,NULL
S008653,05/29/2002,09/15/1994,11/07/2002
S008683,01/01/1976,11/02/2022,NULL
S008686,09/05/2012,09/15/1994,NULL
S008688,01/23/1976,09/26/2023,NULL
S008690,02/11/1976,12/27/2018,NULL
S008705,04/23/2008,09/15/1994,NULL
S008735,04/01/1976,03/22/2007,NULL
S008751,04/04/1976,03/15/2012,NULL
S008757,05/15/2008,09/15/1994,NULL
S008759,04/27/1976,01/01/2020,NULL
S008762,04/09/1976,12/20/1995,NULL
S008768,11/02/2009,11/02/2009,NULL
S008774,05/13/1976,08/30/2021,NULL
S008777,10/08/2018,09/15/1994,NULL
S008787,03/18/1976,09/11/2013,NULL
S008788,03/18/1976,09/10/2013,NULL
S008814,05/19/2008,09/15/1994,NULL
S008816,03/25/1976,09/15/1994,NULL
S008817,06/17/1976,02/26/2014,NULL
S008827,06/25/1976,09/15/1994,NULL
S008830,06/25/1976,09/15/1994,NULL
S008837,06/25/1976,09/15/1994,NULL
S008853,04/18/2007,09/15/1994,04/18/2007
S008867,07/15/1976,10/08/2020,NULL
S008882,09/24/2012,09/15/1994,NULL
S008894,12/11/1975,09/15/1994,NULL
S008916,07/14/1976,09/15/1994,NULL
S008921,08/27/1976,09/18/2001,NULL
S008958,08/24/1976,02/22/2017,NULL
S008959,08/24/1976,02/22/2017,NULL
S008974,09/27/1976,09/15/1994,NULL
S008998,08/12/1976,07/07/2016,NULL
S009004,09/13/1976,09/11/2003,NULL
S009011,09/13/1976,09/11/2003,NULL
S009012,09/13/1976,09/11/2003,NULL
S009016,10/14/1976,08/29/2002,NULL
S009019,08/31/2015,07/14/2012,NULL
S009026,09/30/2011,09/15/1994,NULL
S009032,06/29/1976,09/15/1994,NULL
S009035,06/23/1976,09/15/1994,NULL
S009058,12/06/1976,01/01/2016,NULL
S009091,01/10/1977,10/02/2015,NULL
S009092,06/30/2020,06/22/2005,NULL
S009093,01/17/1977,09/15/1994,NULL
S009132,08/19/2014,09/15/1994,NULL
S009142,03/14/1977,06/28/2012,NULL
S009143,03/14/1977,09/15/1994,NULL
S009146,12/10/2018,09/15/1994,NULL
S009152,03/07/1977,09/15/1994,NULL
S009154,03/18/1977,09/15/1994,NULL
S009156,03/21/1977,08/05/2005,NULL
S009165,03/31/1977,09/15/1994,NULL
S009172,08/17/2011,12/15/1995,NULL
S009186,07/30/2008,09/15/1994,NULL
S009198,04/12/2006,09/15/1994,NULL
S009204,11/08/1976,09/15/1994,NULL
S009216,04/06/1977,01/21/2000,NULL
S009229,04/06/1977,01/21/2000,NULL
S009230,04/06/1977,01/21/2000,NULL
S009243,04/06/1977,01/21/2000,NULL
S009251,04/26/1977,09/15/1994,NULL
S009270,05/20/1977,09/15/1994,NULL
S009281,05/26/1977,09/15/1994,NULL
S009283,04/18/1977,09/15/1994,NULL
S009291,06/13/1977,01/06/2017,NULL
S009292,06/13/1977,01/06/2017,NULL
S009305,12/16/2009,12/21/1995,NULL
S009316,07/07/1977,02/19/2004,NULL
S009322,05/17/1997,09/15/1994,06/06/1997
S009329,08/27/2012,02/06/2003,NULL
S009336,08/29/2014,09/15/1994,NULL
S009338,07/20/1977,11/18/2015,NULL
S009346,07/29/1977,08/03/2004,NULL
S009402,09/01/1977,02/22/2021,NULL
S009406,05/13/2008,09/15/1994,NULL
S009423,09/29/1977,12/21/1995,NULL
S009446,07/24/2014,09/15/1994,NULL
S009447,10/18/1977,06/06/2022,NULL
S009449,07/26/2011,09/15/1994,NULL
S009456,11/01/1977,09/15/1994,NULL
S009460,11/04/1977,03/23/2009,NULL
S009479,03/07/2014,09/15/1994,NULL
S009497,05/14/2019,02/26/2019,NULL
S009499,12/29/1977,11/06/2018,NULL
S009506,07/25/2011,09/15/1994,NULL
S009549,02/13/1998,09/15/1994,02/13/1998
S009562,03/06/1978,03/15/2010,NULL
S009587,05/03/1978,09/11/2013,NULL
S009599,05/05/1978,09/15/1994,NULL
S009605,03/29/2022,05/21/2004,NULL
S009610,06/30/1978,09/15/1994,NULL
S009619,07/12/1978,06/26/2015,NULL
S009636,09/07/1978,09/15/1994,NULL
S009672,05/13/2008,09/15/1994,NULL
S009675,01/29/2010,01/29/2010,NULL
S009678,12/08/1978,09/15/1994,NULL
S009679,12/26/1978,11/08/2011,NULL
S009687,01/10/1979,06/11/2018,NULL
S009718,03/14/1979,09/15/1994,NULL
S009732,03/14/1979,09/15/1994,NULL
S009739,03/14/1979,09/15/1994,NULL
S009750,05/30/2006,09/15/1994,NULL
S009766,04/26/2007,09/15/1994,04/26/2007
S009788,05/07/1979,09/15/1994,NULL
S009789,05/07/1979,09/15/1994,NULL
S009790,05/07/1979,09/15/1994,NULL
S009791,05/07/1979,09/15/1994,NULL
S009821,05/07/1979,09/15/1994,NULL
S009838,05/07/1979,09/15/1994,NULL
S009843,05/07/1979,09/15/1994,NULL
S009844,05/07/1979,09/15/1994,NULL
S009869,05/07/1979,09/15/1994,NULL
S009874,05/07/1979,09/15/1994,NULL
S009883,05/07/1979,09/15/1994,NULL
S009900,05/29/1979,09/15/1994,NULL
S009901,02/24/2014,09/15/1994,NULL
S009908,06/06/1979,05/15/2023,NULL
S009912,06/06/1979,05/15/2023,NULL
S009913,06/06/1979,05/15/2023,NULL
S009953,05/19/2008,09/15/1994,NULL
S009954,08/03/1979,06/22/2005,NULL
S009966,09/11/1979,09/15/1994,NULL
S009968,09/07/1979,04/06/2012,NULL
S009969,09/12/1979,08/29/1995,NULL
S009982,09/27/1979,09/15/1994,NULL
S010012,12/10/2009,09/15/1994,NULL
S010033,08/27/2012,09/15/1994,NULL
S010054,08/01/2008,09/15/1994,NULL
S010057,08/16/2011,09/15/1994,NULL
S010071,05/13/1980,09/15/1994,NULL
S010076,05/28/1980,09/15/1994,NULL
S010077,07/31/2008,09/15/1994,NULL
S010080,05/16/2020,07/07/2006,NULL
S010114,08/06/1980,09/15/1994,NULL
S010116,08/06/1980,09/15/1994,NULL
S010129,03/25/2014,09/15/1994,NULL
S010130,03/25/2014,09/15/1994,NULL
S010214,08/13/1980,09/15/1994,NULL
S010221,03/25/2014,09/15/1994,NULL
S010222,03/25/2014,09/15/1994,NULL
S010240,12/24/1980,12/20/1995,NULL
S010241,08/12/2014,09/15/1994,NULL
S010256,12/14/2009,09/15/1994,NULL
S010260,02/17/1981,09/15/1994,NULL
S010276,01/27/1981,09/15/1994,NULL
S010294,05/14/2015,06/15/2019,NULL
S010301,09/22/1980,09/15/1994,NULL
S010336,05/22/1981,05/19/2021,NULL
S010339,05/22/1981,05/19/2021,NULL
S010366,04/16/1981,09/15/1994,NULL
S010367,04/16/1981,09/15/1994,NULL
S010374,06/02/1981,09/15/1994,NULL
S010379,06/02/1981,09/15/1994,NULL
S010380,06/02/1981,07/07/1997,NULL
S010381,06/02/1981,06/30/1997,NULL
S010398,06/29/1981,09/15/1994,NULL
S010399,06/29/1981,04/01/2022,NULL
S010411,06/19/1981,09/15/1994,NULL
S010418,07/26/2011,09/15/1994,NULL
S010430,06/16/1981,01/19/2013,NULL
S010447,05/25/2007,09/15/1994,05/25/2007
S010451,04/21/1981,09/11/2013,NULL
S010452,04/21/1981,09/11/2013,NULL
S010460,04/21/1981,09/11/2013,NULL
S010465,04/21/1981,09/11/2013,NULL
S010472,04/21/1981,09/11/2013,NULL
S010473,04/21/1981,09/11/2013,NULL
S010486,04/21/1981,09/11/2013,NULL
S010487,04/21/1981,09/11/2013,NULL
S010499,04/21/1981,09/11/2013,NULL
S010507,04/21/1981,09/11/2013,NULL
S010515,04/21/1981,09/11/2013,NULL
S010524,09/08/2011,09/15/1994,NULL
S010532,08/05/1981,09/15/1994,NULL
S010544,05/13/2008,12/21/1995,NULL
S010566,11/15/2013,09/15/1994,NULL
S010599,05/05/2007,09/15/1994,05/04/2007
S010601,11/27/1981,07/18/2018,NULL
S010605,11/27/1981,07/18/2018,NULL
S010615,11/27/1981,07/18/2018,NULL
S010619,11/27/1981,07/18/2018,NULL
S010648,11/27/1981,07/18/2018,NULL
S010649,11/27/1981,07/18/2018,NULL
G193008,07/01/1980,06/05/2019,NULL
G193020,07/01/1980,09/15/1994,NULL
G193044,01/31/2008,01/31/2008,NULL
G193048,07/01/1980,09/15/1994,NULL
G193089,07/01/1980,09/15/1994,NULL
G193108,07/18/2011,09/15/1994,NULL
G193144,07/01/1980,09/15/1994,NULL
G193150,07/01/1980,09/15/1994,NULL
G193167,12/31/2007,09/15/1994,NULL
G193201,07/15/1986,09/15/1994,NULL
G193204,05/27/2010,09/15/1994,NULL
G193206,07/29/1988,04/23/2019,NULL
G193207,02/07/1989,09/15/1994,NULL
G193210,05/23/1989,09/15/1994,NULL
G193217,07/09/2004,NULL,NULL
G193221,12/31/2007,09/15/1994,NULL
G193237,12/31/2007,09/15/1994,NULL
G193244,03/20/2009,09/15/1994,NULL
G193255,05/22/1991,05/18/2009,NULL
G193262,10/28/1998,10/28/1998,NULL
G193284,07/02/1993,09/15/1994,NULL
G193295,03/09/2021,09/15/1994,NULL
G193307,01/04/2010,05/29/1998,NULL
G193313,08/16/2011,05/29/1998,NULL
G193330,03/20/2009,06/08/1998,NULL
G193351,12/11/1998,04/25/2019,NULL
G193356,03/20/2009,02/04/1999,NULL
G193359,03/20/2009,04/19/2000,NULL
G193374,01/04/2010,06/01/1999,NULL
G193377,03/19/1999,09/03/2002,NULL
G193383,01/30/2001,04/09/2010,NULL
G193394,03/04/2002,07/01/2019,NULL
G193397,06/28/2002,07/02/2002,NULL
G193398,04/19/2011,08/06/2002,NULL
G193401,12/24/2002,01/10/2007,NULL
G193403,12/24/2002,01/10/2007,NULL
G193412,12/24/2002,01/10/2007,NULL
G193414,12/24/2002,01/10/2007,NULL
G193426,12/24/2002,01/10/2007,NULL
G193428,12/24/2002,01/10/2007,NULL
G193447,05/07/2004,05/07/2004,NULL
G193458,06/03/2005,12/27/2005,NULL
G193475,06/28/2010,06/29/2011,NULL
G193478,03/17/2006,04/23/2019,NULL
G193480,08/25/2006,04/23/2019,NULL
G193481,09/11/2006,04/02/2007,NULL
G193496,06/12/2019,09/04/2007,NULL
G193497,06/04/2007,04/23/2019,NULL
G193518,06/12/2019,07/25/2008,NULL
G193526,12/08/2008,12/08/2008,NULL
G193528,12/08/2008,12/08/2008,NULL
G193546,05/27/2010,06/17/2009,NULL
G193551,12/28/2009,12/28/2009,NULL
G193552,12/28/2009,12/28/2009,NULL
G193554,12/30/2009,12/30/2009,NULL
G193561,06/12/2019,06/29/2010,NULL
G193566,07/14/2010,07/14/2010,NULL
G193578,07/15/2011,07/15/2011,NULL
G193581,07/15/2011,07/15/2011,NULL
G193591,12/17/2012,12/19/2012,NULL
G193594,03/04/2013,03/04/2013,NULL
G193595,03/08/2013,04/23/2019,NULL
G193601,06/28/2013,07/16/2013,NULL
G193614,11/04/2013,11/04/2013,NULL
G193621,11/07/2013,11/07/2013,NULL
G193633,03/24/2014,03/24/2014,NULL
G193640,08/21/2014,08/21/2014,NULL
G193645,07/27/2015,07/08/2015,NULL
G193647,07/27/2015,07/08/2015,NULL
G193656,07/02/2018,07/31/2018,NULL
G193664,06/17/2019,06/17/2019,NULL
G193669,05/21/2019,05/21/2019,NULL
G193673,03/03/2020,03/03/2020,NULL
G330014,11/03/1998,09/15/1994,NULL
G330065,05/18/2004,NULL,NULL
G330111L002,07/01/1980,09/15/1994,NULL
G330173,01/04/2010,09/15/1994,NULL
G330215,07/01/1980,09/15/1994,NULL
G330316L001,07/01/1980,09/15/1994,NULL
G330355,07/09/1998,09/15/1994,04/19/2006
G330540,06/30/2009,09/15/1994,NULL
G330557,01/04/2010,09/15/1994,NULL
G330687,01/04/2010,09/15/1994,NULL
G330715,07/08/1998,09/15/1994,NULL
G330804,07/01/1980,07/13/2012,NULL
G330902,07/01/1980,10/29/2003,NULL
G331007,05/17/2004,NULL,NULL
G331034,07/01/1980,09/15/1994,NULL
G331172,06/01/2005,09/15/1994,NULL
G331199,01/04/2010,09/15/1994,NULL
G331220L001,06/01/2005,09/15/1994,NULL
G331289L001,07/01/1980,09/15/1994,NULL
G331298,06/29/1998,09/15/1994,NULL
G331311L001,07/01/1980,09/15/1994,NULL
G331327L001,07/01/1980,09/15/1994,NULL
G331400,01/04/2010,09/15/1994,NULL
G331444,07/01/1980,09/15/1994,NULL
G331466,07/01/1980,06/22/2010,NULL
G331489,07/13/2010,09/15/1994,NULL
G331526,07/16/2001,09/15/1994,07/16/2001
G331566L001,07/09/1998,09/15/1994,NULL
G331634,01/04/2010,09/15/1994,NULL
G331690,01/05/2010,09/15/1994,NULL
G331708,07/01/1980,11/13/2020,NULL
G331737,07/01/1980,09/15/1994,NULL
G331800,07/01/1998,09/15/1994,NULL
G331802,06/28/2007,09/15/1994,NULL
G331864,07/01/1980,09/15/1994,03/04/2002
G331909L002,07/01/1980,09/15/1994,NULL
G331918,01/04/2010,09/27/2012,NULL
G331956,07/01/1980,07/08/2015,NULL
G331971,04/06/2004,NULL,NULL
G332002,07/08/1998,09/15/1994,04/19/2006
G332019,07/08/1998,09/15/1994,04/19/2006
G332020,07/08/1998,09/15/1994,04/19/2006
G332023L001,06/03/2005,06/12/2000,NULL
G332038L001,07/01/1980,09/15/1994,NULL
G332040,10/16/2007,09/15/1994,NULL
G332049,01/05/2010,02/27/1996,NULL
G332058,07/01/1980,09/15/1994,NULL
G332062,09/18/2001,NULL,NULL
G332092,07/01/1980,09/15/1994,NULL
G332093L001,07/01/1980,09/15/1994,NULL
G332101,05/28/2002,09/15/1994,08/16/2002
G332183,09/19/2012,09/15/1994,NULL
G332198,07/01/1980,09/15/1994,NULL
G332241,07/01/1980,09/15/1994,NULL
G332260,07/08/1998,09/15/1994,NULL
G332262,08/22/2011,08/16/2011,NULL
G332266,06/30/2015,09/15/1994,NULL
G332270,07/01/1980,09/15/1994,NULL
G332273L001,12/08/1980,09/15/1994,NULL
G332277,03/29/2017,09/15/1994,NULL
G332292,06/29/1981,09/15/1994,NULL
G332305,01/05/2010,09/15/1994,NULL
G332307,01/05/2010,09/15/1994,NULL
G332308,07/13/2004,NULL,NULL
G332351L002,01/19/1984,09/15/1994,NULL
G332390,07/09/1984,09/15/1994,NULL
G332392L002,07/20/1992,09/15/1994,NULL
G332407,01/05/2010,09/15/1994,NULL
G332425,07/26/1985,09/15/1994,NULL
G332426L002,07/24/1985,09/15/1994,NULL
G332429,01/05/2010,09/15/1994,NULL
G332431,06/05/1986,09/15/1994,NULL
G332437,06/13/2013,09/15/1994,NULL
G332442,05/01/2012,09/15/1994,NULL
G332458,01/05/2010,09/15/1994,NULL
G332468,03/02/1988,07/13/2012,NULL
G332473,06/01/1988,09/15/1994,NULL
G332479L001,06/21/1988,09/15/1994,NULL
G332524L001,03/06/1989,09/15/1994,NULL
G332528L002,02/27/1991,09/15/1994,NULL
G332529,06/27/1989,07/13/2012,NULL
G332534,05/01/2012,09/15/1994,NULL
G332561,06/01/2001,09/15/1994,NULL
G332568,09/01/2021,09/15/1994,NULL
G332583L001,05/14/1991,09/15/1994,NULL
G332593,01/05/2010,09/15/1994,NULL
G332600L002,03/18/1992,09/15/1994,NULL
G332636,05/04/1993,09/15/1994,NULL
G332657,07/08/1998,06/28/2011,NULL
G332662,06/28/2011,06/28/2011,NULL
G332712,04/19/2011,05/29/1998,NULL
G332720L001,05/20/1998,05/20/1998,NULL
G332733,06/01/1998,03/17/2021,NULL
G332811,01/05/2010,01/27/2000,NULL
G332818,01/05/2010,01/27/2000,NULL
G332833,06/02/2002,08/15/2000,08/06/2002
G332837,05/01/2000,08/15/2000,NULL
G332844L002,07/03/2000,08/15/2000,NULL
G332873,01/05/2010,08/16/2000,NULL
G332900,09/05/2001,10/01/2001,NULL
G332902,09/05/2001,10/01/2001,NULL
G332904,09/05/2001,10/01/2001,NULL
G332935,05/28/2002,03/18/2022,NULL
G332952L001,07/04/2003,10/17/2003,NULL
G332988,06/22/2005,11/02/2005,NULL
G332992,06/22/2005,11/02/2005,NULL
G333024,06/27/2009,06/27/2009,NULL
G333029,06/30/2009,06/30/2009,NULL
G333031,06/03/2014,07/27/2009,NULL
G333035,03/15/2010,03/15/2010,NULL
G333036,03/25/2010,03/25/2010,NULL
G333038,04/27/2010,04/27/2010,NULL
G333058,07/06/2010,07/06/2010,NULL
G333061,07/06/2010,05/25/2022,NULL
G333075,06/29/2010,06/29/2010,NULL
G333083,05/16/2011,05/16/2011,NULL
G333086,09/19/2011,09/19/2011,NULL
G333088,09/19/2011,09/19/2011,NULL
G333096,07/03/2012,08/01/2012,NULL
G334516,07/03/2014,08/07/2014,NULL
G334526,07/27/2015,07/03/2015,NULL
G334544,06/26/2019,06/26/2019,NULL
G360057L001,07/01/1980,09/15/1994,NULL
G360058L001,06/11/2004,09/15/1994,NULL
G360129,07/01/1980,09/15/1994,NULL
G360160L001,07/06/1993,09/15/1994,NULL
G360187L001,07/09/2003,09/15/1994,NULL
G360188L001,07/01/1980,09/15/1994,NULL
G360312L001,07/01/1980,09/29/2003,10/21/2003
G360320L001,07/01/1980,09/15/1994,NULL
G360323L001,07/01/1980,12/02/2003,NULL
G360371,06/30/1981,NULL,NULL
G360388,07/14/2004,NULL,NULL
G360396L001,07/01/1980,09/15/1994,NULL
G360516,01/19/2010,09/15/1994,NULL
G360518,05/31/2005,09/15/1994,NULL
G360545L001,06/04/2004,09/15/1994,NULL
G360549,07/01/1980,09/15/1994,NULL
G360569L001,07/01/1980,09/15/1994,NULL
G360580L001,07/01/1980,09/15/1994,NULL
G360614,06/10/2004,NULL,NULL
G360672L001,07/01/1980,09/15/1994,NULL
G360971L001,07/01/1980,09/15/1994,12/05/2001
G360990,07/01/1980,09/15/1994,NULL
G361008L001,07/01/1980,09/15/1994,NULL
G361009L001,07/01/1980,07/26/2000,NULL
G361011L001,07/01/1980,07/26/2000,NULL
G361123,01/19/2010,09/15/1994,NULL
G361162,07/01/1980,09/15/1994,NULL
G361337L001,05/22/1991,09/15/1994,NULL
G361544L001,07/01/1980,09/15/1994,NULL
G361572,07/01/1980,09/15/1994,NULL
G361579,07/01/1980,09/15/1994,NULL
G361690L001,10/08/1981,09/29/2003,NULL
G361744L001,03/15/1999,09/15/1994,09/28/2007
