"APPLICATION_NUMBER","Annual_Demand_2017_2019","Annual_Demand_2017_2020","Annual_Demand_2017_2022"
"A029277",0,0,0
"A029333",0.17,0.95,1.79
"A029332",0,0,0
"A029397",0.3,1.1,0.74
"A029405",46.09,52.52,38.02
"A029462",1.62,1.63,1.44
"A029562",13.53,13.88,13.35
"A029502",2.52,2.62,1.96
"A029515",7.49,14,14
"D029507",0,0.37,0.37
"A029538",3.42,3.1,3.07
"A029610",4.02,4.5,3.33
"A029628",120.2,101.04,67.36
"A029671",3,2.73,2.86
"A029772",7.95,6.72,6.28
"A029802",0,0,0
"A029848",1.34,1,0.67
"A029849",0,0,0
"A029850",13.54,13.68,12.47
"A029858",5.6,7.02,8.68
"D029862",0.02,0.02,0.02
"C003979",5.85,5.75,5.33
"A029901",165.8,179.95,171.64
"C003981",7.22,8.5,7
"A029986",13.42,15.5,12
"D030095",0,0,0
"A030186",4.08,4.21,4.21
"A030125",0.19,NA,NA
"A030124",0,0,1.18
"A030173",3.82,4.68,5.03
"D030256",0,NA,NA
"D030353",0,0,0
"A030391",2.56,3.41,3.27
"D030460",5.02,5.5,5.3
"D030601",1.05,1.82,1.23
"A030882",0,0,0
"D030741",0,0,0
"A030797",9.93,15.95,13.76
"D030758",0.67,0.41,0.27
"A030933",7.97,9.08,9.07
"A031055",41.89,31.65,31.2
"D031111",0,0,0.57
"D029831",0.74,0.88,0.66
"A031257",8.86,11.39,12.45
"D031267",2.8,NA,NA
"A031304",0,0,0
"D031331",0,0,0
"A031363",10.19,12.17,14.66
"A031362",15.86,17.85,20.96
"A031501",1.51,2.25,2.83
"D031555",0,0,0.01
"A031567",7.15,7.76,7.48
"D031569",0,0,0
"D031602",1.21,1.2,1.38
"A031620",6,4,5.86
"D031651",1.16,1.26,1.18
"D031671",0,0,0
"D031681",3.36,3,4.04
"A031719",22.67,17.98,13.35
"A031737",16.37,18.57,18.12
"A031743",67.94,72.58,76.48
"L031802",1.26,1.5,1.18
"D031803",1.93,2.28,1.93
"D032058",0,0,0
"D032062",0,0,0
"D032138",0,0,0
"D032149",9.21,NA,5.73
"D032166",0.34,0.38,0.38
"D032229",0,0,0
"D032275",7.25,7.9,5.27
"D032320",0.12,0.12,0.09
"H032335",5.65,12.3,12.56
"A032372",0.63,0.66,0.66
"D032464",0.05,NA,NA
"D032534",0.3,0.31,0.24
"D032768",0,0.05,0.05
"D032188",1.5,1.32,0.98
"D032713",0.2,0.38,0.39
"D032725",0,0,0
"L032735",4.03,5.85,3.9
"D032787",0.21,0.42,0.42
"D032850",1.88,2.26,1.98
"D032708",0.01,0.01,0
"H501560",0.14,0.09,0.06
"H501640",0,0,0
"H501475",0.17,0.18,0.18
"L032966",0,NA,0
"H504162",0.15,0.17,0.17
"H506517",0,0,0
"H509254",0,0,0
"H508968",0,NA,NA
"S000093",0.68,0.75,1.17
"S000549",0,0,0
"S000632",0,0,0
"S000652",0,20,19.33
"S001181",0,0,0
"S002378",0,0,0
"S002720",0,0,0
"S002929",0,NA,0
"S003106",5.43,5.6,5.42
"S004341",0.01,0,0
"S004347",10.71,9.01,7.84
"S004460",0,0,0
"S005225",5.17,5.15,5.28
"S005226",4.99,5.23,5.51
"S008502",0,0.38,0.83
"S008582",0,0.01,0.01
"S008583",0,0,0
"S008584",0,0,0
"S008585",0,0,0
"S008586",0.01,0.01,0.01
"S008587",0,0,0
"S008588",0.02,0.02,0.02
"S008589",0.54,0.56,0.54
"S008590",0.03,0.02,0.02
"S008591",0.13,0.11,0.1
"S008592",0.19,0.17,0.15
"S008593",2,1.84,1.61
"S008661",0.18,0.26,0.57
"S008664",0,0,0.25
"S009168",0,0,0
"S009291",10.99,13.26,9.06
"S009292",11.26,11.11,7.41
"S009324",0.67,0.52,0.36
"S009689",0,NA,NA
"S012930",0,0,0.15
"S013563",3.8,NA,NA
"S013709",0.16,0.16,0.13
"S013760",0.01,0.01,0.01
"S013814",11.17,11.1,10.3
"S013850",1.2,0.99,0.79
"S014058",5.53,6.25,6.91
"S014059",6.6,8.55,9.52
"S014070",62.4,64.67,60.67
"S014075",43.91,35.15,23.43
"S014076",0,0,0
"S014080",0.9,3.09,5.82
"S014081",0.9,1.29,7.68
"S014082",0,1.35,3.6
"S014083",15.57,15.23,21.55
"S014084",29.9,29.27,26.43
"S014085",11.13,10.65,12.15
"S014090",21.53,21.2,23.55
"S014091",0.8,1.18,1.67
"S014096",0,0,0
"S014097",0,0,0
"S014479",0.35,0.36,0.36
"S014910",4.12,3.09,5.04
"S014924",0,0,0
"S014925",2.33,2.94,3.54
"S014926",0,0,0
"S014927",0,0.32,0.31
"S014928",0,0.05,0.73
"S014929",11,10.28,6.85
"S014930",0,0,0
"S014931",0,0,0
"S015118",10.98,11.51,11.17
"S015214",1.63,1.44,1.36
"S015273",1.14,0.97,0.79
"S015334",0,0,0.36
"S015459",27.83,34.43,40.48
"S015460",0.27,0.55,0.41
"S015461",3.4,2.76,4.76
"S015462",0.44,0.38,3.8
"S015463",11.21,10.65,10.18
"S015473",4.17,3.85,4.38
"S015474",0.1,1.07,1.55
"S015520",15.5,13.25,11.85
"S015821",14.58,17,14.27
"S015823",0.73,0.5,0.38
"S015828",4.71,3.74,2.84
"S015844",2.33,2.64,2.2
"S015862",0,NA,NA
"S015865",24,21,16.87
"S015872",0.1,0.1,0.09
"S015885",14.44,11.03,6.62
"S015886",7.33,8.75,5.83
"S015887",0.1,0.11,0.07
"S015895",0,0,0
"S015900",19.9,7.88,11.4
"S015901",1.46,3.75,4.48
"S015906",0,0,0
"S015908",1.68,2,2
"S015916",1.32,1.11,1.27
"S015923",0,0,0
"S015944",6.63,5.25,3.69
"S015948",0,0,0
"S015955",0,0.05,0.09
"S015981",0,0.11,0.11
"S015997",7.27,5.58,4.35
"S016025",0,0,0
"S016032",0.58,0.44,0.29
"S016038",4.11,4.23,3.85
"S016039",0.8,0.6,0.4
"S016046",4.01,3.01,2.95
"S016047",2.55,3.4,3.11
"S016048",7.76,8,8
"S016049",3.09,2.99,3.27
"S016050",2.94,2.28,2.03
"S016051",0,0.1,0.28
"S016052",0,0,0
"S016053",2.18,2.12,2.96
"S016054",2.81,8.05,6
"S016055",0.68,0.93,0.75
"S016056",2.84,2.59,3.07
"S016057",3.9,5.02,5.68
"S016058",0,0,0
"S016059",0.83,0.78,0.61
"S016060",2.06,6.03,4.49
"S016061",1.47,1.17,0.96
"S016062",0,0,0
"S016065",0,0,0
"S016066",0.46,0.64,0.89
"S016067",2.47,2.96,2.62
"S016068",4.6,6.47,6.27
"S016069",1.84,2.11,2.34
"S016134",0.28,0.22,0.2
"S016322",6.07,7.22,9.72
"S016328",0,0,0
"S016628",0.19,0.18,0.18
"S016680",1.87,1.4,6
"S016681",11.63,8.72,6.98
"S016682",0,0,0
"S016683",0,0,0
"S016684",3.97,5.05,3.37
"S016685",6.97,8.03,5.35
"S016686",0.67,1.75,1.17
"S016699",0.01,0.01,0.01
"S016700",0.06,0.05,0.04
"S016731",0.83,0.92,3.28
"S016732",11.86,7.68,7.74
"S016778",1.42,1.48,1.97
"S016779",0.14,0.13,0.16
"S016853",20.49,22.92,22.16
"S016892",6.91,7.55,7.9
"S017033",0,NA,NA
"S017034",6.25,6.29,10.63
"S017035",15.36,15.92,16.44
"S017036",11.76,13.55,12.89
"S017037",0,4.79,4.63
"S017038",5.37,5.23,5.14
"S017651",0,0,0
"S018138",1.61,1.38,1.42
"S018141",1.84,1.52,1.24
"S018142",8.31,7.24,9.08
"S018153",0.48,0.36,1.34
"S018157",32.2,29.88,30.63
"S018160",10.16,10.72,11.42
"S018190",0.48,0,0.87
"S018205",7.47,7.47,7.78
"S018213",4.87,5.45,5.9
"S018216",2.65,2.58,2.72
"S018222",6.07,5.58,6.4
"S018225",13.47,12.35,9.42
"S018640",0,0,0
"S018671",0,0,0
"S018674",0.05,0.06,0.05
"S018677",0,0,0
"S019027",7.15,6.34,5.03
"S019030",17.17,17.51,18.92
"S019045",9.53,8.13,6.22
"S019190",15.11,17.88,17.63
"S019193",7.46,10.28,8.72
"S019205",7.4,6.3,7.75
"S019232",4.14,3.1,2.07
"S019312",0,0,0
"S019384",7.54,7.08,6.53
"S019406",18.64,18.05,16.2
"S019409",18.76,17.88,16.58
"S019412",7.92,8.2,5.47
"S019697",0,NA,3.25
"S019760",5,3.75,8.12
"S019762",0,0,0
"S019763",66.52,58.07,39.78
"S019926",24.02,21.34,21.51
"S019972",9.1,9.01,12.15
"S020134",0.18,0.26,0.44
"S020596",0,0,4.39
"S020828",12,16.23,10.82
"S021353",0,0,0
"S021485",0,NA,NA
"S021488",6.07,5.97,5.52
"S021568",10.07,10.05,8.28
"S021990",0,0,0
"S021991",0,0,0
"S022015",12.97,12.93,12.42
"S022016",8.84,10.03,9.2
"S022017",0.14,0.1,0.07
"S022128",0.26,0.6,0.87
"S022287",0,NA,NA
"S022288",0,4.77,3.7
"S022309",4.72,13.78,14.75
"S022310",0,0,0
"S022400",1.4,2.35,1.57
"S022463",5.82,5.82,5.82
"S022466",4.77,5.17,4.95
"S022528",2.55,2.35,1.57
"S022557",0,0,0
"S022558",0,0,0
"S022559",7.16,12,12
"S022560",6.29,10,10
"S022561",0,0,0
"S022598",2.04,3.12,2.17
"S022607",6.62,7.2,7.2
"S022703",4.5,NA,NA
"S022713",0,0,0
"S022777",11.03,12,9.72
"S022832",0,0,0
"S022857",43.2,45.92,40.95
"S022859",0,0,0
"S023512",0.52,0.75,0.5
"S023513",47.67,48.3,44.96
"S023514",0.36,0.52,0.35
"S023515",24.09,25.68,26.05
"S023678",6.53,4.89,3.26
"S023680",0,0,0
"S023682",0,0,0
"S023707",0,0,0
"S023849",7.4,7.1,7.58
"S024131",0.02,0.03,0.04
"S024280",0,0,0
"S024349",0.42,0.53,0.56
"S024495",1.77,1.77,1.77
"S024511",0.08,0.08,0.08
"S024512",5.3,3.99,2.71
"S024513",0.02,0.01,2.71
"S024769",0.09,0.11,0.08
"S024770",0.03,0.03,0.02
"S024858",3.76,4.28,7.02
"S025042",0.81,1.73,3.88
"S025066",0.01,0.01,0.01
"S025197",7.45,7.71,7.71
"S025227",0.62,0.62,0.62
"S025228",0.16,0.16,0.16
"S025235",0.45,0.47,0.47
"S025236",0.31,0.39,0.38
"S025237",0.19,0.19,0.19
"S025242",1.26,1.26,1.06
"S025250",0.03,0.03,0.03
"S025251",0.06,0.04,0.05
"S025263",0.16,0.17,0.16
"S025270",2.93,1.93,1.93
"S025300",0,NA,NA
"S025301",4.42,4.19,3.72
"S025305",25.33,24,27.68
"S025343",5.35,5.59,3.73
"S025344",1.85,1.4,0.93
"S025345",11.8,10.97,7.31
"S025346",6.61,4.96,3.31
"S025354",1.17,1.17,1.17
"S025398",3.34,3.35,3.21
"S025471",0.01,0.01,0.01
"S025479",0,0.03,0.02
"S025484",0.17,0.12,0.08
"S025485",0.74,0.55,0.37
"S025486",1.01,1.78,1.19
"S025487",6.8,8.6,5.73
"S025488",0.34,2.06,3.19
"S025553",1.07,1.09,1.73
"S025590",0.32,0.33,0.31
"S025675",0.01,0.01,0
"S025689",0.09,0.11,0.11
"S025698",0,0.03,0.05
"S025702",0,0.08,0.08
"S025703",0.1,0.11,0.1
"S025714",0.09,0.1,0.1
"S025769",0.01,0.01,0.03
"S025792",0.64,0.66,0.64
"S025816",0.39,0.2,0.14
"S025818",0.89,0.85,0.79
"S025827",0.1,0.08,0.07
"S025833",0.07,0.07,0.05
"S025834",0.06,0.06,0.05
"S025847",2.84,3.43,3.36
"S025883",0.01,0.01,0.01
"S025889",0.38,0.39,0.43
"S025890",0,0.18,0.27
"S025891",0.4,0.41,0.41
"S025893",0,0,0
"S026037",0.02,0.02,0.03
"S026496",0,0,0
"S026639",0,0,0
"S026695",0,0,0
"S026735",0.5,0.44,0.33
"S026781",0.03,0.02,0.02
"S026853",2.06,NA,NA
"S026903",0.61,0.61,0.61
"S026919",2.65,2.77,2.5
"S027297",0.64,3.06,3.65
"S027326",0.07,0.07,0.05
"S027330",1.01,1.19,0.79
"S027331",1.3,1.13,0.75
"S027385",0,0,0
"S027435",0.36,0.36,0.36
"S027438",0.16,0.16,0.16
"S027456",0.22,0.23,0.21
"S027500",0.16,0,0
"S027654",0.1,0.1,0.1
"S027768",0,0.02,0.02
"S027883",0,NA,NA
"S027934",0,NA,NA
"S027965",0.03,0.03,0.02
"S027969",19.86,19.5,20.42
"S028035",0,0,0
"S028233",0.26,0.29,0.52
"S028289",0,0,1.88
"C004244",NA,0,0
"S028502",NA,0,0
"A030912",NA,NA,5.84
"D032490",NA,NA,0
"H033201",NA,NA,NA
"H033302",NA,NA,0
"H033340",NA,NA,NA
"S015131",NA,NA,NA
"S028757",NA,NA,0.54
"S028858",NA,NA,NA
"S028862",NA,NA,NA
"S028867",NA,NA,NA
"S028872",NA,NA,NA
