"APPLICATION_NUMBER","Annual_Demand_2017_2019","Annual_Demand_2017_2020","Annual_Demand_2017_2022"
"A024912",0,0,0
"A024909",0,NA,NA
"A024899",0,0,3.97
"A024898",8.03,10.13,12.43
"A024894",49.44,46.42,30.95
"A024893B",0,0.12,0.08
"A024893A",24.2,23.8,15.87
"A024889",0,0,0
"A024890",19.86,23.71,20.82
"A024877",0,0,0
"A024864B",0,0,0
"A024864A",0,0,0
"A024854",1.32,2.44,16.5
"A024820",12.46,11.55,7.7
"A024807",0.26,0.25,0.2
"A024805",0,0,0
"A024790A",14,18,22
"A024791",9.32,8.94,6.12
"A024789B",1.22,0.94,1.03
"A024789A",0,0,0
"A024774",2.85,3.26,2.75
"A024763B",85.98,85.98,58.62
"A024741",17.99,18,18
"A024725",19.67,19.75,19.67
"A024691B",2.61,3.4,2.27
"A024691A",20.3,19.88,16.52
"A024682",5.01,3.75,2.5
"A024678B",0.9,1.47,0.98
"A024645",1.67,2.5,2.5
"A024617",4.4,6.19,6.51
"A024604",5.06,5.64,3.76
"A024593B",14.63,11.72,9.56
"A024593A",61.66,46.25,54.25
"A024571B",58.17,157.29,117
"A024571A",53.13,46.41,50.96
"A024522A",10.42,8.86,8.23
"A024502",3.4,2.9,2.17
"A024488",2.99,3,3
"A024457",16.51,16.62,12.25
"A024425",111.68,85.02,68.01
"A024409",2.8,2.81,1.75
"A024405",0,3,2
"A024404",0,0,0
"A013281A03",13.13,14.03,14.23
"A013281A02",55.04,54.91,38.19
"A013281A01",79.65,111.19,74.12
"A024391",1.45,1.14,1.26
"A024378",17,16.38,14.6
"A024344",4.5,4.5,4.67
"A024318",0,0,0.78
"A024311B",0,0,0.51
"A024310B",0,0.62,0.41
"A024310A",8.4,10.53,7.02
"A024311A",0.9,1.17,2.24
"A024269B",0,0,0
"A024269A",0,NA,NA
"A024266B",6.74,8.17,7.25
"A024266A",8.64,9.57,8.04
"A024209B",100.67,97.51,86.97
"A024209A",62.73,51.92,45.3
"A024205",0,0,0
"A024173",0.27,0.2,0.16
"A024163",3.5,2.64,1.76
"A024139",0,0,0
"A024141",0.88,2.52,2.16
"A024140",37.43,33.87,24.5
"A024130",36.66,35.5,31.33
"A024126",20.33,20.25,19.6
"A024104",7,7,7
"A024101",1.7,2.56,2.24
"A024056",38.99,34.5,29.8
"A024053",5.47,6.2,5.4
"A024051",56.78,59.85,49.39
"A024050",0.07,0.23,1.01
"A024044",12.85,10.76,8.61
"A024028",32,32.75,31.83
"A024025",0,0,0
"A024017",23,23,23
"A024014",0.45,0.56,0.87
"A024010",6.2,4.66,3.71
"A024013",1.68,3.14,3.66
"A023949",6.53,8.5,10
"A023926B",0.03,0.03,0.02
"A023926A",0.04,0.03,1.81
"A023916",0.13,0.11,0.08
"A023902",0,0,0
"A023895",0,0,0
"A023880",49.9,49.9,44.27
"A023868",0,0,0
"A023840",0,0,6
"A023839",0,NA,2
"A023836",8,9.75,9.6
"A023835",3.49,3.51,3.51
"A023817",0,0,0.6
"A023802",0,0,0.02
"A023794",8.33,7.12,4.75
"A023793",18.81,21.62,38.97
"A023792",2.67,2,1.33
"A023748",52.36,54.3,51.2
"A023737",0,0,0
"A023707",6.66,7,7.67
"A023700",0,0,0
"A023682",0,0,0
"A023679",6.96,6.99,6.99
"A023678",0,0,0
"A023681",0,0,0
"A023671",221.17,216.26,186.49
"A023670",0,0,0
"A024522B",0,0.9,3.16
"A023664",16.67,17.47,16.28
"A023663",2.64,3.65,3.44
"A023654B",39.61,39.7,38.47
"A023654A",0.25,0.54,0.36
"A023629",42.91,44.49,44.68
"A023615",16.32,15.68,14.94
"A023605",0,0.54,0.72
"A023563",3.69,2.78,1.85
"A023558",11,11,8.83
"A023539",3.08,2.9,2.96
"A023536",9,6.75,5.4
"A023534B",60.34,81.5,70.33
"A023534A",6.68,5.99,4
"A023489",6.22,6.27,6.52
"A023488",4.44,4.82,4.98
"A023481",0,0,0
"A023451",0,3.08,5
"A023446B",4.02,5.13,5.29
"A023408",2.93,2.2,2.2
"A023399",6,6,5.83
"A023387",0,1.25,0.83
"A023339",8.3,6.36,4.29
"A023338",34.87,29.65,23.77
"A023337",27.19,23.56,22.53
"A023326",10.01,10,6.67
"A023297",1.84,1.76,1.23
"A023290",0,0,0
"A023282",14.49,14.5,14.5
"A023255",3.33,5.5,5.5
"A023250",0,0,0
"A023212B",0.29,0.22,0.15
"A023212A",7.16,5.68,7.43
"A023213",285,244,244
"A023163",24.6,18.44,12.3
"A023098",0,0,0
"A023092",0,0,0
"A023086",0.39,0.56,0.58
"A023040",57.09,58.28,50.23
"A023039",65.52,58.22,40.89
"A023035",0,8.57,5.71
"A022993",0,0,0
"A022881",0,0,0
"A022815",25.03,23.4,15.6
"A022802",196.85,168.15,121.73
"A022702",0,0,0
"A022692",2,2.01,1.88
"A022652",3.68,3.55,9.2
"A022623",0,0,0
"A022614",1.08,1.1,0.88
"A022615",2.54,2.22,1.78
"A022445",0,0,0
"A022432",0.53,0.45,1.4
"A022433",0,0,0
"A022426",0,0.55,0.28
"A022378",31.23,32.26,32.74
"A022306",8.94,7.9,5.6
"A022277",0.17,0.12,1.47
"A022208",17.67,15.13,15.59
"A022188",0,0,9.67
"A022145",0,0,0
"A022079",0,0,0.6
"A022070",6.12,6.1,6.9
"A022005B",0,0.03,0.92
"A021966",2.3,2.45,2.55
"A021950",27.33,27.5,27.5
"A021941",0,0.2,0.1
"A021939",0,0.15,0.08
"A021925",0,0,0
"A021932",12,12,10.67
"A021931",18.24,25.92,18.12
"A021930",6.13,4.6,3.07
"A021929",0,0,0
"A021928",2.9,2.17,8.39
"A021927",11.76,19.12,12.75
"A021889",12,12,8.33
"A021870",0,0,0
"A021838",14.97,11.22,8.46
"A021809",21.86,22.17,22.34
"A021783B",3.13,4.85,5.03
"A021783A",0,0,0
"A021756",21.09,25.1,16.73
"A021711",8.33,12.88,14.03
"A021710",43.01,43,36.83
"A021674",1.89,1.68,1.52
"A021666",18.06,17.15,12.85
"A021596",0,0,0
"A021570",0.24,0.17,0.13
"A021569",0.21,0.14,0.13
"A021516",7.68,8.71,8.68
"A021506",0,0,0
"A021466",6.55,4.93,3.29
"A021429C",9.87,32.42,53.93
"A021429B",0,0,0
"A021429A",95.66,95.5,114
"A021419",54.03,43.52,43.22
"A021345",0,0.37,0.22
"A021245",25.44,27.6,18.4
"A021235",10.33,7.75,9.2
"A021187",2.67,4,3.2
"A021127",0,0,0
"A021126",96.69,72.52,48.35
"A021121",0,NA,NA
"A021106",9.73,7.35,7.64
"A020963",36.67,38.4,40.28
"A020953",2.68,2,1.33
"A020907",0,0,0
"A020901",0,NA,0
"A020872",10.3,10.68,10.73
"A020870",12,11.5,9.67
"A020846",6.67,6.25,4.5
"A020813",2.84,2.88,2.9
"A020791",0.3,0.5,0.44
"A020720",7,7,4.67
"A020662",35.84,26.87,17.92
"A020657",29.69,25.41,23.34
"A020624",0,0,0
"A020582",0.77,0.6,0.41
"A020540",56.94,78.28,76.17
"A020436",13.33,11.12,11.02
"A020333",0,0,0
"A020100",47.9,41.65,45.15
"A019921",3,2.5,2.5
"A019427",14.97,14.98,14.54
"A019339",2.51,1.88,1.5
"A019336",0,0,0
"A019140",0,0,0
"A019135",0,0.01,0.01
"A019071",54,53.5,35.67
"A018948",2.33,3.66,8.07
"A018835",5.04,5.5,5.23
"A018648",4.89,4.91,4.94
"A018649",0,0,0.01
"A012850",0,0,0
"A018328",0,0,0
"A018274B",4.9,4.9,4.9
"A018274A",0,0,0
"A018241",2.86,2.62,1.75
"A018200",0.08,0.06,0.04
"A018138",57.53,45.75,43.28
"A018093B",0.22,0.17,0.11
"A018093A",1.33,1.65,2.59
"A017978",50.82,54.76,41.07
"A017911B",22.67,24.1,23.62
"A017911A",15.77,22.55,28.82
