APPLICATION_NUMBER,YEAR,JAN_DIRECT_DIVERSION,FEB_DIRECT_DIVERSION,MAR_DIRECT_DIVERSION,APR_DIRECT_DIVERSION,MAY_DIRECT_DIVERSION,JUN_DIRECT_DIVERSION,JUL_DIRECT_DIVERSION,AUG_DIRECT_DIVERSION,SEP_DIRECT_DIVERSION,OCT_DIRECT_DIVERSION,NOV_DIRECT_DIVERSION,DEC_DIRECT_DIVERSION,JAN_STORAGE_DIVERSION,FEB_STORAGE_DIVERSION,MAR_STORAGE_DIVERSION,APR_STORAGE_DIVERSION,MAY_STORAGE_DIVERSION,JUN_STORAGE_DIVERSION,JUL_STORAGE_DIVERSION,AUG_STORAGE_DIVERSION,SEP_STORAGE_DIVERSION,OCT_STORAGE_DIVERSION,NOV_STORAGE_DIVERSION,DEC_STORAGE_DIVERSION,JAN_TOTAL_DIVERSION,FEB_TOTAL_DIVERSION,MAR_TOTAL_DIVERSION,APR_TOTAL_DIVERSION,MAY_TOTAL_DIVERSION,JUN_TOTAL_DIVERSION,JUL_TOTAL_DIVERSION,AUG_TOTAL_DIVERSION,SEP_TOTAL_DIVERSION,OCT_TOTAL_DIVERSION,NOV_TOTAL_DIVERSION,DEC_TOTAL_DIVERSION
A003565,2021,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0
A003565,2022,0,6,2,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0.28,0
A003601,2017,0,0,0,0,0,4.18,4.73,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18,4.73,2.25,0,0,0,0
A003601,2018,0,0,0,0,0,4.4,4.93,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,4.93,2.27,0,0,0,0
A003601,2019,0,0,0,0,0,4.4,4.93,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,4.93,2.27,0,0,0,0
A003601,2020,0,0,0,0,0,10.7,11.1,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,11.1,5.3,0,0,0,0
A003601,2021,0,0,0,0,0,10.71,11.07,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.71,11.07,0.71,0,0,0,0
A003601,2022,0,0,0,0,0,10.7,11,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,11,5.4,0,0,0,0
A003633,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A003633,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
