"APPLICATION_NUMBER","YEAR","MONTH","AMOUNT","DIVERSION_TYPE"
"A006926",2020,5,0.028,"DIRECT"
"A006926",2015,10,0.092834,"DIRECT"
"A006926",2017,9,0,"DIRECT"
"A006926",2018,2,0.015467,"DIRECT"
"A006926",2017,10,0,"DIRECT"
"A006926",2014,5,0,"STORAGE"
"A006926",2014,4,0,"STORAGE"
"A006926",2014,1,0,"STORAGE"
"A006926",2014,11,0,"STORAGE"
"A006926",2015,2,0.039128,"DIRECT"
"A006926",2015,9,0.114316,"DIRECT"
"A006926",2015,9,0,"STORAGE"
"A006926",2014,4,0.0087003315,"DIRECT"
"A006926",2014,11,0.054196774,"DIRECT"
"A006926",2019,4,0.020226,"DIRECT"
"A006926",2017,7,0,"DIRECT"
"A006926",2015,8,0,"STORAGE"
"A006926",2017,12,0,"STORAGE"
"A006926",2017,9,0,"STORAGE"
"A006926",2015,11,0,"STORAGE"
"A006926",2014,12,0,"STORAGE"
"A006926",2017,3,0,"STORAGE"
"A006926",2019,12,0,"STORAGE"
"A006926",2014,2,0,"STORAGE"
"A006926",2015,4,0,"STORAGE"
"A006926",2020,1,0.02,"DIRECT"
"A006926",2019,7,0,"STORAGE"
"A006926",2017,5,0,"DIRECT"
"A006926",2014,7,0.055301578,"DIRECT"
"A006926",2015,4,0.087617,"DIRECT"
"A006926",2017,8,0,"DIRECT"
"A006926",2014,1,0.00122756,"DIRECT"
"A006926",2014,9,0.0868774901,"DIRECT"
"A006926",2014,9,0,"STORAGE"
"A006926",2015,6,0,"STORAGE"
"A006926",2015,6,0.092987,"DIRECT"
"A006926",2020,3,0.019,"DIRECT"
"A006926",2019,8,0.029185,"DIRECT"
"A006926",2020,6,0.031,"DIRECT"
"A006926",2015,11,0.059843,"DIRECT"
"A006926",2019,8,0,"STORAGE"
"A006926",2020,9,0.03,"DIRECT"
"A006926",2020,7,0.035,"DIRECT"
"A006926",2019,7,0.028852,"DIRECT"
"A006926",2019,6,0.021763,"DIRECT"
"A006926",2017,6,100,"STORAGE"
"A006926",2020,12,0.015,"DIRECT"
"A006926",2015,3,0,"STORAGE"
"A006926",2020,10,0.05,"DIRECT"
"A006926",2017,3,0,"DIRECT"
"A006926",2020,11,0.33,"DIRECT"
"A006926",2015,2,0,"STORAGE"
"A006926",2014,6,0,"STORAGE"
"A006926",2019,6,0,"STORAGE"
"A006926",2019,12,0.006322,"DIRECT"
"A006926",2019,11,0.011048,"DIRECT"
"A006926",2017,4,0,"DIRECT"
"A006926",2019,11,0,"STORAGE"
"A006926",2017,7,100,"STORAGE"
"A006926",2020,8,0.032,"DIRECT"
"A006926",2019,10,0.02808,"DIRECT"
"A006926",2019,9,0,"STORAGE"
"A006926",2017,8,0,"STORAGE"
"A006926",2019,4,0,"STORAGE"
"A006926",2019,10,0,"STORAGE"
"A006926",2019,9,0.031931,"DIRECT"
"A006926",2019,5,0,"STORAGE"
"A006926",2019,5,0.026607,"DIRECT"
"A008974",2019,5,0,"DIRECT"
"A008974",2014,10,0,"DIRECT"
"A008974",2014,1,0,"STORAGE"
"A008974",2018,11,0,"STORAGE"
"A008974",2018,10,0,"DIRECT"
"A008974",2014,10,0,"STORAGE"
"A008974",2014,8,0,"DIRECT"
"A008974",2014,9,0,"STORAGE"
"A008974",2014,9,0,"DIRECT"
"A008974",2020,9,0,"STORAGE"
"A008974",2018,12,0,"STORAGE"
"A008974",2019,2,0,"DIRECT"
"A008974",2018,11,0,"DIRECT"
"A008974",2020,10,0,"DIRECT"
"A008974",2019,4,0,"DIRECT"
"A008974",2020,5,0,"DIRECT"
"A008974",2015,10,0,"STORAGE"
"A008974",2019,6,0,"STORAGE"
"A008974",2018,12,0,"DIRECT"
"A008974",2020,11,0,"STORAGE"
"A008974",2020,5,0,"STORAGE"
"A008974",2019,12,0,"STORAGE"
"A008974",2019,2,0,"STORAGE"
"A008974",2021,1,0,"DIRECT"
"A008974",2018,6,0,"DIRECT"
"A008974",2014,4,0,"DIRECT"
"A008974",2018,3,0,"STORAGE"
"A008974",2014,7,0,"DIRECT"
"A008974",2020,11,0,"DIRECT"
"A008974",2014,5,0,"STORAGE"
"A008974",2020,1,0,"STORAGE"
"A008974",2019,10,0,"STORAGE"
"A008974",2021,3,0,"DIRECT"
"A008974",2021,2,0,"STORAGE"
"A008974",2021,4,0,"DIRECT"
"A008974",2021,4,0,"STORAGE"
"A008974",2020,6,0,"STORAGE"
"A008974",2014,7,0,"STORAGE"
"A008974",2014,2,0,"STORAGE"
"A008974",2014,4,0,"STORAGE"
"A008974",2019,3,0,"STORAGE"
"A008974",2020,12,0,"STORAGE"
"A008974",2020,6,0,"DIRECT"
"A008974",2019,1,0,"STORAGE"
"A008974",2019,9,0,"STORAGE"
"A008974",2015,2,0,"STORAGE"
"A008974",2019,3,0,"DIRECT"
"A008974",2014,1,0,"DIRECT"
"A008974",2020,8,0,"STORAGE"
"A008974",2020,8,0,"DIRECT"
"A008974",2014,6,0,"DIRECT"
"A008974",2018,10,0,"STORAGE"
"A008974",2018,4,0,"DIRECT"
"A008974",2021,2,0,"DIRECT"
"A008974",2021,3,0,"STORAGE"
"A008974",2019,9,0,"DIRECT"
"A008974",2019,10,0,"DIRECT"
"A008974",2018,4,0,"STORAGE"
"A008974",2015,1,0,"DIRECT"
"A008974",2014,8,0,"STORAGE"
"A008974",2019,1,0,"DIRECT"
"A008974",2018,5,0,"DIRECT"
"A008974",2014,5,0,"DIRECT"
"A008974",2015,1,0,"STORAGE"
"A008974",2019,5,0,"STORAGE"
"A008974",2015,2,0,"DIRECT"
"A008974",2018,5,0,"STORAGE"
"A008974",2020,7,0,"STORAGE"
"A008974",2014,6,0,"STORAGE"
"A008974",2020,7,0,"DIRECT"
"A008974",2017,3,0,"DIRECT"
"A008974",2019,6,0,"DIRECT"
"A008974",2018,8,0,"STORAGE"
"A008974",2020,12,0,"DIRECT"
"A008974",2019,4,0,"STORAGE"
"A008974",2016,11,0,"STORAGE"
"A008974",2016,11,0,"DIRECT"
"A008974",2016,12,0,"DIRECT"
"A008974",2017,4,0,"STORAGE"
"A008974",2018,9,0,"DIRECT"
"A008974",2021,1,0,"STORAGE"
"A008974",2017,8,0,"STORAGE"
"A008974",2017,2,0,"DIRECT"
"A008974",2017,1,0,"DIRECT"
"A008974",2016,12,0,"STORAGE"
