"APPLICATION_NUMBER","INI_REPORTED_DIV_AMOUNT","INI_REPORTED_DIV_UNIT","FACE_VALUE_AMOUNT","FACE_VALUE_UNITS"
"S014083",2662.17,"Acre-feet",0,"Acre-feet per Year"
"S014090",2662.17,"Acre-feet",0,"Acre-feet per Year"
"S014095",2419.496,"Acre-feet",0,"Acre-feet per Year"
"S014139",4.0325,"Acre-feet",0,"Acre-feet per Year"
"S014392",2426.74,"Acre-feet",0,"Acre-feet per Year"
"S014393",977.94,"Acre-feet",0,"Acre-feet per Year"
"S014479",0.3191,"Acre-feet",0,"Acre-feet per Year"
"S014749",847.548,"Acre-feet",0,"Acre-feet per Year"
"S014847",159.368,"Acre-feet",0,"Acre-feet per Year"
"S014857",0,"Acre-feet",0,"Acre-feet per Year"
"S014923",967.074,"Acre-feet",0,"Acre-feet per Year"
"S014926",39.842,"Acre-feet",0,"Acre-feet per Year"
"S014976",5.6455,"Acre-feet",0,"Acre-feet per Year"
"S015038",485.348,"Acre-feet",0,"Acre-feet per Year"
"S015042",724.4,"Acre-feet",0,"Acre-feet per Year"
"S015044",1452.422,"Acre-feet",0,"Acre-feet per Year"
"S015314",1485.02,"Acre-feet",0,"Acre-feet per Year"
"S015315",1169.906,"Acre-feet",0,"Acre-feet per Year"
"S015317",1811,"Acre-feet",0,"Acre-feet per Year"
"S015334",807.706,"Acre-feet",0,"Acre-feet per Year"
"S015353",32.598,"Acre-feet",0,"Acre-feet per Year"
"S015402",119.526,"Acre-feet",0,"Acre-feet per Year"
"S015414",14.488,"Acre-feet",0,"Acre-feet per Year"
"S015473",32.598,"Acre-feet",0,"Acre-feet per Year"
"S015691",0.07,"Acre-feet",0,"Acre-feet per Year"
"S015723",0.5,"Acre-feet",0,"Acre-feet per Year"
"S015758",12,"Acre-feet",0,"Acre-feet per Year"
"S015813",4.2,"Acre-feet",0,"Acre-feet per Year"
"S015844",2.9094,"Acre-feet",0,"Acre-feet per Year"
"S015862",4.528,"Acre-feet",0,"Acre-feet per Year"
"S015865",51.71,"Acre-feet",0,"Acre-feet per Year"
"S015874",40,"Acre-feet",0,"Acre-feet per Year"
"S015944",843.926,"Acre-feet",0,"Acre-feet per Year"
"S015952",0.1193,"Acre-feet",0,"Acre-feet per Year"
"S015964",3310.508,"Acre-feet",0,"Acre-feet per Year"
"S015981",0.0655,"Acre-feet",0,"Acre-feet per Year"
"S015997",4436.95,"Acre-feet",0,"Acre-feet per Year"
"S016000",1611.79,"Acre-feet",0,"Acre-feet per Year"
"S016001",1774.78,"Acre-feet",0,"Acre-feet per Year"
"S016003",804.084,"Acre-feet",0,"Acre-feet per Year"
"S016004",1209.748,"Acre-feet",0,"Acre-feet per Year"
"S016009",521.568,"Acre-feet",0,"Acre-feet per Year"
"S016039",1014.16,"Acre-feet",0,"Acre-feet per Year"
"S016056",39.842,"Acre-feet",0,"Acre-feet per Year"
"S016058",1412.58,"Acre-feet",0,"Acre-feet per Year"
"S016059",325.98,"Acre-feet",0,"Acre-feet per Year"
"S016060",39.842,"Acre-feet",0,"Acre-feet per Year"
"S016064",1209.748,"Acre-feet",0,"Acre-feet per Year"
"S016065",39.842,"Acre-feet",0,"Acre-feet per Year"
"S016118",159.368,"Acre-feet",0,"Acre-feet per Year"
"S016352",35,"Acre-feet",0,"Acre-feet per Year"
"S016364",5,"Acre-feet",0,"Acre-feet per Year"
"S016370",18,"Acre-feet",0,"Acre-feet per Year"
"S016399",20,"Acre-feet",0,"Acre-feet per Year"
"S016684",1210.4724,"Acre-feet",0,"Acre-feet per Year"
"S016686",2340.1742,"Acre-feet",0,"Acre-feet per Year"
"S016698",2535.4,"Acre-feet",0,"Acre-feet per Year"
"S016731",11.8152,"Acre-feet",0,"Acre-feet per Year"
"S016732",44.5506,"Acre-feet",0,"Acre-feet per Year"
"S016773",115.3,"Acre-feet",0,"Acre-feet per Year"
"S016775",1.8,"Acre-feet",0,"Acre-feet per Year"
"S016836",79.2,"Acre-feet",0,"Acre-feet per Year"
"S016840",20,"Acre-feet",0,"Acre-feet per Year"
"S016885",23.3,"Acre-feet",0,"Acre-feet per Year"
"S016892",20.6,"Acre-feet",0,"Acre-feet per Year"
"S016897",1050.38,"Acre-feet",0,"Acre-feet per Year"
"S016900",0,"Acre-feet",0,"Acre-feet per Year"
"S016901",4.5,"Acre-feet",0,"Acre-feet per Year"
"S016911",4.2028,"Acre-feet",0,"Acre-feet per Year"
"S017035",26.54,"Acre-feet",0,"Acre-feet per Year"
"S017037",23.1056,"Acre-feet",0,"Acre-feet per Year"
"S017038",5.98,"Acre-feet",0,"Acre-feet per Year"
"S017039",8.99,"Acre-feet",0,"Acre-feet per Year"
"S017160",0,"Acre-feet",0,"Acre-feet per Year"
"S017301",56.5032,"Acre-feet",0,"Acre-feet per Year"
"S017657",45.9994,"Acre-feet",0,"Acre-feet per Year"
"S017748",2.09,"Acre-feet",0,"Acre-feet per Year"
"S017990",403.4908,"Acre-feet",0,"Acre-feet per Year"
"S017993",40.2042,"Acre-feet",0,"Acre-feet per Year"
"S017995",3227.5642,"Acre-feet",0,"Acre-feet per Year"
"S018136",7,"Acre-feet",0,"Acre-feet per Year"
"S018151",0,"Acre-feet",0,"Acre-feet per Year"
"S018160",80.7706,"Acre-feet",0,"Acre-feet per Year"
"S018190",8.8,"Acre-feet",0,"Acre-feet per Year"
"S018216",403.4908,"Acre-feet",0,"Acre-feet per Year"
"S018277",968.5228,"Acre-feet",0,"Acre-feet per Year"
"S018470",65.196,"Acre-feet",0,"Acre-feet per Year"
"S018474",39.2,"Acre-feet",0,"Acre-feet per Year"
"S018787",1.2972,"Acre-feet",0,"Acre-feet per Year"
"S019027",51,"Acre-feet",0,"Acre-feet per Year"
"S019190",22.7,"Acre-feet",0,"Acre-feet per Year"
"S019193",67.9,"Acre-feet",0,"Acre-feet per Year"
"S019196",0,"Acre-feet",0,"Acre-feet per Year"
"S019202",75.66,"Acre-feet",0,"Acre-feet per Year"
"S019287",767.864,"Acre-feet",0,"Acre-feet per Year"
"S019395",484.2614,"Acre-feet",0,"Acre-feet per Year"
"S019406",47,"Acre-feet",0,"Acre-feet per Year"
"S019412",0,"Acre-feet",0,"Acre-feet per Year"
"S019550",565.032,"Acre-feet",0,"Acre-feet per Year"
"S019760",1129.7018,"Acre-feet",0,"Acre-feet per Year"
"S019763",726.211,"Acre-feet",0,"Acre-feet per Year"
"S019769",0,"Acre-feet",0,"Acre-feet per Year"
"S019924",0.02,"Acre-feet",0,"Acre-feet per Year"
"S020069",161.5412,"Acre-feet",0,"Acre-feet per Year"
"S020291",0.14,"Acre-feet",0,"Acre-feet per Year"
"S020293",1811,"Acre-feet",0,"Acre-feet per Year"
"S020527",7.244,"Acre-feet",0,"Acre-feet per Year"
"S021080",1613.9632,"Acre-feet",0,"Acre-feet per Year"
"S021321",5.6167,"Acre-feet",0,"Acre-feet per Year"
"S021339",1.8,"Acre-feet",0,"Acre-feet per Year"
"S021386",54,"Acre-feet",0,"Acre-feet per Year"
"S021388",17.0234,"Acre-feet",0,"Acre-feet per Year"
"S021396",1826.2124,"Acre-feet",0,"Acre-feet per Year"
"S021397",2191.31,"Acre-feet",0,"Acre-feet per Year"
"S021472",1694.7338,"Acre-feet",0,"Acre-feet per Year"
"S021473",1089.4976,"Acre-feet",0,"Acre-feet per Year"
