########################################,,,,,,"// 049684			precip	39.4194		-123.3425		1353","// 047109			precip	39.3619		-123.1286		1018","// 049122			precip	39.1466		-123.2102		636","// 049126			precip	39.1266		-123.2719		1328","// 041838			precip	38.793		-123.0263		400","// 043875			precip	38.6294		-122.8665		177","// 041312			precip	38.5768		-122.5781		350","// 043191			precip	38.515		-123.2447		112","// 043578			precip	38.4305		-122.8647		200","// 046370			precip	38.3858		-122.9661		865","// 049684			tmax	39.4194		-123.3425		1353","// 047109			tmax	39.3619		-123.1286		1018","// 049122			tmax	39.1466		-123.2102		636","// 049126			tmax	39.1266		-123.2719		1328","// 041838			tmax	38.793		-123.0263		400","// 043875			tmax	38.6294		-122.8665		177","// 041312			tmax	38.5768		-122.5781		350","// 043191			tmax	38.515		-123.2447		112","// 043578			tmax	38.4305		-122.8647		200","// 046370			tmax	38.3858		-122.9661		865","// 049684			tmin	39.4194		-123.3425		1353","// 047109			tmin	39.3619		-123.1286		1018","// 049122			tmin	39.1466		-123.2102		636","// 049126			tmin	39.1266		-123.2719		1328","// 041838			tmin	38.793		-123.0263		400","// 043875			tmin	38.6294		-122.8665		177","// 041312			tmin	38.5768		-122.5781		350","// 043191			tmin	38.515		-123.2447		112","// 043578			tmin	38.4305		-122.8647		200","// 046370			tmin	38.3858		-122.9661		865"
2022,5,31,0,0,0,-999,0,-999,-999,0,0,0,0,0,-999,-999,28.333334,-999,-999,24.444445,-999,26.11111,16.11111,30.555555,-999,-999,3.3333333,-999,-999,13.888889,-999,8.888889,7.7777777,4.4444447,-999
2022,6,1,0,0,0,-999,0,-999,-999,0,0,0,-999,-999,-999,-999,31.11111,-999,-999,29.444445,31.666666,30.555555,-999,-999,-999,-999,6.6666665,-999,-999,10,10,9.444445,-999,-999,-999
2022,6,2,0,0,0,-999,0,-999,-999,0,0,0,-999,-999,-999,-999,31.11111,-999,-999,31.666666,31.11111,32.77778,-999,-999,-999,-999,8.888889,-999,-999,12.222222,17.222221,11.666667,-999,-999,-999
2022,6,3,0,0,0,-999,0,-999,-999,0,0,-999,-999,-999,-999,-999,25.555555,-999,-999,29.444445,26.11111,-999,-999,-999,-999,-999,10,-999,-999,11.666667,12.777778,-999,-999,-999,-999
2022,6,4,0,0,0,-999,0,-999,-999,17.78,3.302,-999,-999,-999,-999,-999,25.555555,-999,-999,24.444445,22.222221,-999,-999,-999,-999,-999,13.333333,-999,-999,10,12.777778,-999,-999,-999,-999
2022,6,5,0,0,0,-999,28.956,-999,22.606,0,12.954,-999,-999,-999,-999,-999,23.88889,-999,-999,30,23.88889,-999,-999,-999,-999,-999,13.888889,-999,-999,17.777779,13.333333,-999,-999,-999,-999
2022,6,6,0,0,0,-999,0,-999,0.508,0,0,-999,-999,-999,-999,-999,26.11111,-999,-999,32.22222,30,-999,-999,-999,-999,-999,8.888889,-999,-999,17.222221,12.777778,-999,-999,-999,-999
2022,6,7,0,0,0,-999,0,-999,-999,0,0,-999,-999,-999,-999,-999,30,-999,-999,35,29.444445,-999,-999,-999,-999,-999,9.444445,-999,-999,17.222221,11.111111,-999,-999,-999,-999
2022,6,8,0,0,0,-999,0,-999,-999,0,0,-999,-999,-999,-999,-999,29.444445,-999,-999,32.22222,32.22222,-999,-999,-999,-999,-999,11.666667,-999,-999,16.11111,13.888889,-999,-999,-999,-999
2022,6,9,0,0,0,-999,0,-999,-999,0,0,-999,-999,-999,-999,-999,31.11111,-999,-999,30,33.88889,-999,-999,-999,-999,-999,10.555555,-999,-999,15,13.333333,-999,-999,-999,-999
2022,6,10,0,0,0,-999,0,-999,-999,0,0,-999,-999,-999,-999,-999,34.444443,-999,-999,31.11111,37.22222,-999,-999,-999,-999,-999,11.666667,-999,-999,10.555555,22.222221,-999,-999,-999,-999
2022,6,11,0,0,0,-999,0,-999,-999,0,0,-999,-999,-999,-999,-999,34.444443,-999,-999,27.777779,33.88889,-999,-999,-999,-999,-999,13.888889,-999,-999,10,18.88889,-999,-999,-999,-999
2022,6,12,0,0,0,-999,3.302,-999,1.016,0,0,-999,-999,-999,-999,-999,31.11111,-999,-999,23.88889,23.88889,-999,-999,-999,-999,-999,16.11111,-999,-999,12.777778,14.444445,-999,-999,-999,-999
2022,6,13,0,0,0,-999,0,-999,-999,0,0,-999,-999,-999,-999,-999,23.333334,-999,-999,22.777779,26.666666,-999,-999,-999,-999,-999,6.111111,-999,-999,12.222222,11.666667,-999,-999,-999,-999
2022,6,14,0,0,0,-999,0,-999,-999,0,0,-999,-999,-999,-999,-999,28.88889,-999,-999,30,32.22222,-999,-999,-999,-999,-999,6.6666665,-999,-999,12.222222,13.888889,-999,-999,-999,-999
2022,6,15,0,0,0,-999,-999,-999,-999,0,0,-999,-999,-999,-999,-999,-999,-999,-999,31.666666,32.22222,-999,-999,-999,-999,-999,-999,-999,-999,10,12.777778,-999,-999,-999,-999
2022,6,16,0,0,0,-999,0,-999,-999,0,0,-999,-999,-999,-999,-999,23.333334,-999,-999,29.444445,27.777779,-999,-999,-999,-999,-999,6.6666665,-999,-999,10.555555,13.333333,-999,-999,-999,-999
2022,6,17,0,0,0,-999,0,-999,-999,0,0,-999,-999,-999,-999,-999,20,-999,-999,23.88889,21.666666,-999,-999,-999,-999,-999,6.111111,-999,-999,7.2222223,8.888889,-999,-999,-999,-999
2022,6,18,0,0,0,-999,0,-999,-999,0,0,-999,-999,-999,-999,-999,21.666666,-999,-999,20.555555,25.555555,-999,-999,-999,-999,-999,4.4444447,-999,-999,7.7777777,8.333333,-999,-999,-999,-999
2022,6,19,0,0,0,-999,0,-999,-999,0,0,-999,-999,-999,-999,-999,27.777779,-999,-999,23.333334,28.88889,-999,-999,-999,-999,-999,5.5555553,-999,-999,10,12.222222,-999,-999,-999,-999
2022,6,20,0,0,0,-999,0,-999,-999,0,-999,-999,-999,-999,-999,-999,31.666666,-999,-999,28.333334,-999,-999,-999,-999,-999,-999,8.333333,-999,-999,11.111111,-999,-999,-999,-999,-999
2022,6,21,0,0,0,-999,0,-999,-999,0,-999,-999,-999,-999,-999,-999,37.22222,-999,-999,31.666666,-999,-999,-999,-999,-999,-999,10,-999,-999,15,-999,-999,-999,-999,-999
2022,6,22,0,0,0,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,38.88889,-999,-999,-999,-999,-999,-999,-999,-999,-999,16.666666,-999,-999,-999,-999,-999
